Cal_V	ADC
10.0	287.42
20.0	295.18
30.0	302.99
40.0	310.86
50.0	318.79
60.0	326.78
70.0	334.82
80.0	342.92
90.0	351.07
100.0	359.29
200.0	444.54
300.0	511.69
400.0	565.71
500.0	609.25
600.0	646.21
700.0	675.06
800.0	701.02
900.0	723.31
1000.0	742.16
1200.0	775.16
1400.0	802.20
1600.0	825.78
1800.0	844.20
2000.0	861.61
4000.0	976.28
6000.0	1045.98
8000.0	1099.98
10000.0	1142.78
12000.0	1182.13
14000.0	1216.03
16000.0	1248.92
18000.0	1277.57
20000.0	1306.21
22000.0	1333.45
24000.0	1359.49
26000.0	1384.39
28000.0	1406.82
30000.0	1431.68
32000.0	1454.49
34000.0	1477.09
36000.0	1499.12
38000.0	1520.69
40000.0	1541.73
42000.0	1563.36
44000.0	1583.61
46000.0	1603.27
48000.0	1624.81
50000.0	1644.61
52000.0	1663.44
54000.0	1683.70
56000.0	1703.73
58000.0	1721.96
60000.0	1740.99
62000.0	1760.04
64000.0	1778.79
