Cal_V	ADC
10.0	261.03
20.0	269.51
30.0	277.98
40.0	286.45
50.0	294.93
60.0	303.40
70.0	311.88
80.0	320.35
90.0	328.83
100.0	337.30
200.0	422.04
300.0	488.22
400.0	541.97
500.0	587.04
600.0	622.88
700.0	654.05
800.0	679.33
900.0	701.11
1000.0	720.35
1200.0	754.39
1400.0	781.24
1600.0	805.37
1800.0	825.29
2000.0	844.73
4000.0	960.33
6000.0	1030.87
8000.0	1082.92
10000.0	1127.44
12000.0	1165.10
14000.0	1198.85
16000.0	1231.97
18000.0	1261.00
20000.0	1289.52
22000.0	1316.92
24000.0	1342.33
26000.0	1367.41
28000.0	1391.05
30000.0	1414.23
32000.0	1436.01
34000.0	1458.96
36000.0	1479.79
38000.0	1501.78
40000.0	1521.64
42000.0	1542.84
44000.0	1562.39
46000.0	1582.34
48000.0	1601.55
50000.0	1622.02
52000.0	1641.46
54000.0	1659.35
56000.0	1678.71
58000.0	1697.05
60000.0	1715.24
62000.0	1734.58
64000.0	1752.75
