fdt_allch_tau1	fdt_allch_tau2	fdt_allch_tau3	fdt_allch_tau4	fdt_allch_tau5	fdt_allch_tau6	fdt_allch_tau7	fdt_allch_tau8	fdt_allch_tau9	fdt_allch_tau10	fdt_allch_tau11	fdt_allch_tau12	fdt_allch_tau13	fdt_allch_tau14	fdt_allch_tau15	fdt_allch_tau16	fdt_allch_tau17	fdt_allch_tau18	fdt_allch_tau19	fdt_allch_tau20	fdt_allch_tau21	fdt_allch_tau22	fdt_allch_tau23	fdt_allch_tau24	fdt_allch_tau25	fdt_allch_tau26	fdt_allch_tau27	fdt_allch_tau28	fdt_allch_tau29	fdt_allch_tau30	fdt_allch_tau31	fdt_allch_tau32
179.93	165.19	138.66	151.75	179.71	126.08	190.07	126.06	120.9	139.32	185.37	143.55	185.73	143.38	154.09	161.11	168.36	135.33	144.92	130.89	145.6	153.18	177.92	134.51	125.19	159.75	160.17	167.89	132.2	223.03	214	107.91
166.97	151.42	124.14	138.92	166.45	113.64	176.23	113.17	106.83	131.85	169.38	133.05	170.21	131.25	141.6	148.2	154.83	123.82	133.91	119.53	132.92	139.67	164.12	126.13	111.5	147.16	147.78	154.97	119.3	210.11	200.29	95.58
167.77	152.28	124.94	138.95	165.33	114.64	176.86	112.85	107.66	131.49	169.08	132.56	171.54	131.6	142.46	150.05	155.55	124.29	133.86	120.06	132.58	140.42	164.96	126.17	111.64	147.33	148.61	155.71	120.28	209.72	201.19	95.81
168.88	152.16	125.35	139.91	167.5	115.36	178.12	114.33	107.58	132.94	171.47	134.03	171.88	132.28	142.87	149.91	156.75	124.9	136.15	120.83	133.72	141.34	164.55	127.38	112.25	148.47	149.53	156.68	121.28	211.72	202.23	96.79
169.57	153.4	126.41	140.81	168.57	115.13	178.3	114.75	109.22	133.07	172.59	134.78	173.52	132.29	145.02	150.92	156.94	125.94	136.08	121.82	134.78	141.71	164.94	128.43	113.84	149.31	150.41	157.9	121.78	212.15	202.78	97.7
170.2	154.36	127.64	141.65	168.4	117.03	179.26	115.6	109.96	135.08	171.8	136.11	173.73	134.3	145.18	152.04	157.34	127.06	135.17	122.47	135.66	142.21	165.97	130.18	114.31	149.9	151.1	157.92	122.02	213.21	203.32	98.34
171.33	155.44	128.13	142.59	169	117.11	179.92	116.44	111.21	135.76	173.49	136.08	174.68	134.13	146.21	153.07	158.77	127.47	136.95	123.64	136.82	143.16	166.8	131.19	115.38	150.91	152	159.32	123.64	213.77	204.09	99.17
171.67	156.86	129.78	143.55	170.63	118.57	180.7	117.17	112.06	135.96	174.44	136.94	175.68	135.62	146.26	154.39	160.22	128.24	138.93	124.58	137.52	144.48	169.05	130.88	115.93	151.99	152.94	160.32	124.15	214.57	205.09	100.04
173.57	157.32	130.08	143.96	171.99	118.89	182.23	117.9	112.52	136.93	175.49	138.29	176.33	136.2	147.07	154.31	159.73	130.05	139.08	125.35	137.59	144.5	169.76	131.57	118.06	152.88	153.88	160.6	124.85	215.48	206.33	100.78
174.43	158.73	131	144.85	172.09	119.81	182.6	119.21	113.45	137.44	175.63	138.91	177.44	136.49	148.69	154.95	160.93	130.42	140.22	126.41	139.44	146.35	170.73	131.98	117.65	153.32	154.59	161.94	125.43	216.07	207.19	102.34
174.74	159.24	131.97	145.8	173.22	120.96	183.99	119.83	114.47	138.56	176.14	140.6	177.59	137.46	149.5	156.22	162.44	131.74	141.12	126.83	139.7	146.8	172.28	133.83	118.65	153.59	155.22	162.83	126.81	216.85	207.79	103.04
176.05	160.41	133.07	146.93	174.18	121.8	184.66	121.06	114.59	139.22	177.53	141.15	178.79	138.69	151	157.56	162.1	131.26	141.53	127.85	140.79	147.93	173.7	133.58	119.91	155.18	157.19	164.08	128.91	218.69	208.95	103.88
176.55	161.46	133.89	147.63	174.67	121.88	185.29	121.9	116.72	139.55	178.09	142.35	179.24	139.55	151.39	157.04	163.69	133.34	142.47	128.93	141.88	148.01	172.71	135.71	121.22	156.29	157.47	164	128.74	218.97	210.26	104.63
177.98	162.45	135.13	148.61	175.4	123.15	186.35	122.34	117.86	140.77	179.84	142.32	180.75	139.97	152.49	159.05	163.95	134.61	142.38	129.11	142.79	149.59	174.48	135.92	121.9	156.49	158.75	165.61	129.66	219.8	210.89	105.08
178.35	163.01	135.55	149.1	176.87	125	187.24	123.89	118.09	141.56	179.47	143.45	181.35	141.05	152.38	159.48	164.35	135.23	144.09	129.85	143.49	150.18	175.1	136.91	122.07	157.65	159.41	166.52	130.6	220.89	211.37	106.21
179.03	164.23	136.66	150.07	178.06	125.39	188.55	124.33	118.8	143.46	181.1	143.54	182.17	141.03	153.36	160.65	165.62	135.37	145.22	132.05	144.86	151.54	175.36	137.69	123.62	158.44	160.37	167.44	131.34	221.81	213.11	107.42
179.69	165.29	137.65	150.97	179.19	126.1	189.39	125.27	119.71	142.64	182.88	145.58	183.66	142.53	155.44	161.71	166.59	136.6	146.28	132.2	145.19	151.84	176.93	138.95	125.59	158.61	160.65	168.11	132.62	222.77	213.55	108.21
180.55	166.02	138.68	151.78	179.69	127.22	190.09	125.91	120.69	144.43	182.74	145.68	184.69	144.28	155.54	162.18	167.01	137.38	146.12	133.75	146.74	153.4	176.93	139.56	126.01	160.63	161.94	169.01	133.47	223.67	214.64	109.23
182.43	166.91	139.53	152.41	180.98	127.21	190.73	126.68	121.28	143.75	184.25	147.36	184.87	144.37	156.51	163.41	167.86	138.78	147.11	133.9	147.7	153.8	176.88	140.3	126.63	160.8	163.41	169.51	133.21	224.87	215.57	109.49
182.81	167.53	140.58	153.37	180.81	128.81	191.48	128.1	122.34	144.79	183.77	147.5	185.96	145.3	158.1	164.58	168.05	139.36	148.09	135.36	148.34	154.25	180.17	141.6	127.51	161.03	162.8	170.43	134.87	225.15	216.66	110.77
183.82	168.15	141.28	154.64	182.78	129.69	193.07	129.15	123	146.02	185.55	148.31	186.91	145.79	158.58	165.31	170.06	139.68	149.8	135.91	148.9	154.83	179.76	141.88	128.47	161.95	164.95	171.93	135.47	226.32	217.71	111.65
184.46	170.15	141.93	155.47	183.81	130.29	193.44	130.17	123.91	147.37	186.61	149.56	187.44	147.78	160.07	166.02	169.61	140.83	150.29	136.71	150.26	156.37	181.1	143.15	129.39	162.81	164.93	172.29	136.65	227.33	218.09	112.07
185.58	170.18	142.67	155.78	184.25	131.29	194.74	130.21	124.51	147.37	188.08	150.2	188.15	147.79	160.08	166.39	171.87	141.59	151.14	137.58	151.15	156.9	182.6	143.9	130.09	164.31	166.52	172.98	136.25	227.57	219.39	113.5
186.59	171.03	143.65	156.16	185.27	132.26	195.53	131.27	125.88	149.09	188.07	150.98	189.62	148.48	161.33	167.16	172.22	142.24	151.92	138.68	151.02	157.03	183.73	144.56	131.5	164.64	166.95	174.87	137.67	228.48	220.4	114.04
187.76	172.16	144.95	157.48	185.57	132.72	196.3	132.94	127.57	149.34	188.29	152.22	188.59	148.47	162.3	169.24	172.67	144.12	152.99	138.82	152.75	158.89	184.24	145.18	132.06	165.54	167.76	175.3	138.32	229.32	221.25	114.69
187.73	173.11	145.14	158.76	187.62	133.71	196.76	132.93	127.57	150.29	189.51	152.13	189.63	150.74	163.58	169.8	173.99	144.57	153.14	139.7	153.95	159.85	185.91	146.35	132.12	166.42	168.48	176.2	139.09	230.03	222.24	115.63
188.89	173.35	146.8	158.95	187.87	134.34	198.1	134.12	128.46	150.2	190.11	153.47	191.39	150.28	163.69	171.57	174.05	145.1	153.22	140.42	155.14	160.77	185.68	147.41	134.8	167.06	169.19	176.73	140.03	230.81	222.48	117.06
189.57	175.02	147.53	160.23	188.84	135.3	198.79	134.96	128.81	151.5	191.99	154.38	192.52	151.24	165.19	171.81	175.76	144.9	155.38	141.84	155.79	161.13	187.51	148.08	134.38	168.01	170.22	177.03	141.29	232.09	224.6	117.42
190.69	175.44	148.63	161.11	190.62	136.41	199.6	135.73	130.62	152.79	191.95	155.75	191.77	152.78	166.26	172.12	175.09	147.49	155.66	142.52	156.61	163.18	188.17	148.49	135.96	169.24	170.89	178.69	141.23	233.02	225.66	118.8
191.91	176.49	149.21	161.46	190.6	136.61	199.88	136.51	131.27	152.99	193.9	156.27	193.37	152.65	165.94	172.03	175.99	147.96	156.19	143.26	157.33	163.42	188.52	149.38	136.95	169.63	171.68	179.12	142.85	233.81	225.78	119.3
192.02	177.82	150.75	162.75	191.69	137.12	201.35	137.28	131.84	152.87	193.66	156.43	194.19	154.01	167.77	173.65	177.44	149.03	157.36	144.56	158.41	163.31	188.24	149.81	137.4	171.09	172.15	179.92	143.54	234.02	226.45	120.84
193.11	178.9	150.89	163.57	192.41	138.2	202.23	137.98	132.05	153.7	195.4	157.97	193.7	154.52	168.53	175.16	178.6	148.78	157.94	144.28	159.5	165.31	188.3	151.48	138.45	170.89	173.37	181.64	143.96	235.55	227.77	121.22
194.17	179.68	151.75	164.12	192.94	138.67	203.33	138.78	133.35	155.29	195.81	158.69	195.59	154.61	168.46	175.49	179.29	150.29	159.09	145.46	160.22	165.68	189.83	151.94	139.35	171.23	174.72	181.26	145.69	236.06	228.8	122.48
194.85	180.04	152.81	164.95	194.76	140.02	204	139.93	133.82	155.2	196.69	160.26	196.46	156.44	170.25	175.74	179.16	150.95	159.17	146.13	160.6	166.68	190.59	152.77	140.19	172.96	175.63	182.54	145.88	237.75	229.22	122.75
195.82	181.11	153.69	165.98	195.09	141.1	204.83	140.77	134.7	156.39	198.05	161.01	197.34	156.63	171.04	177.57	180.62	152.34	160.22	146.82	162.16	167.3	191.77	153.5	141.19	173.98	175.96	183.51	146.74	238.09	230.75	124.02
196.32	181.78	154.81	166.54	196.58	141.49	205.98	141.05	135.73	156.66	198.54	161.08	198.03	156.61	171.5	178.04	181.49	152.51	161.65	148.36	162.71	168.41	192.5	154.57	141.73	174.32	177.08	183.47	147.24	239.34	230.79	124.56
197.19	182.66	155.39	167.36	197.66	141.74	205.99	141.83	136.42	157.48	198.4	161.46	199	158.58	173.17	179.22	182.46	154.23	162.74	148.56	162.92	169.81	193.65	155.66	142.21	175.37	177.78	184.4	148.25	239.96	232.02	126.21
198.54	184.6	155.98	168.65	197.41	142.9	207.1	143.06	136.57	157.81	200.14	163.08	199.59	159.06	173.78	179.9	182.3	155.11	163.76	147.99	164.59	170.23	193.55	157.18	143.69	175.99	178.61	186.01	148.65	240.54	233.56	126.35
199.32	184.84	157.54	168.98	198.62	143.75	207.91	144.23	137.8	159.72	201.66	163.97	200.01	159.81	174.58	180.79	183.36	155.1	164.77	150.8	164.9	170.88	196.62	158.06	144.26	176.71	179.39	186.73	150.06	241.62	233.9	127.7
199.72	185.71	158.26	169.65	199.41	144.61	208.55	144.49	138.28	159.87	201.67	165.09	200.36	161.13	175.44	182	185.24	155.81	165.04	150.47	165.49	171.02	196.83	157.73	144.75	177.65	180.25	187.86	150.64	242.18	234.63	128.66
200.47	186.33	158.74	170.58	199.5	145.5	209.5	145.64	138.46	160.57	200.93	166.08	201.42	162.4	176.73	182.95	185.43	156.68	165.54	152.35	166.73	173.14	197.07	159.45	146.21	178.24	181.64	188.68	151.6	243.08	236.8	129.49
202.01	187.38	160.44	171.05	200.7	146.5	210.43	146.33	140.69	161.68	202.89	165.84	202.8	162.59	176.45	183.3	186.05	157.2	166.13	152.71	167.59	174.52	197.12	159.52	146.75	179.17	182.09	189.04	151.96	244.32	237.67	130.63
202.33	188.38	160.7	172.18	202.36	146.63	211.13	147.03	140.66	162.36	203.36	167.11	204.35	162.96	178.9	184.23	186.42	157.4	167.18	152.95	168.2	174.63	199.1	161.05	147.46	179.8	183.26	189.93	152.97	244.75	238.24	131
203.46	189.8	161.21	173.06	203	147.45	212.06	147.99	142.75	164.21	204.57	167.77	203.86	163.77	178.43	184.89	187.73	159.42	167.25	154.53	169.77	175.09	199.12	161.78	148.17	181.1	183.5	190.91	153.5	244.85	239.66	131.63
204.14	189.8	162.21	173.6	203.48	148.87	212.6	148.27	142.63	163.33	205.33	168.47	204.83	165.4	179.7	186.99	188.27	161.17	168.33	154.89	170.52	176.49	200.29	162.91	149	181.62	184.56	192.13	154.66	247.39	239.94	132.77
204.6	191.09	163.76	174.51	204.77	149.42	213.27	149.8	143.68	165.15	204.76	169.32	205.53	165.06	180.17	186.71	189.48	160.69	169.27	155.95	171.35	177.68	202.76	163.57	149.96	182.6	185.65	192.51	155.35	248.1	241.28	133.4
205.49	191.74	163.39	175.51	205.17	149.73	214.49	150.12	144.92	165.67	206.87	171.04	206.38	165.97	182.21	187.96	189.17	162.3	170.77	156.66	172.38	178.24	203.06	163.7	151.08	183.13	185.68	193.12	156.28	248.6	242.43	134.36
206.2	192.64	164.67	176.37	206.54	150.56	215.27	151.3	144.91	166.43	207.45	170.85	207.14	166.68	182.81	188.99	190.65	163.07	170.79	157.25	172.93	178.73	203.08	165.14	151.19	184.14	187.71	194.53	157.25	249.22	242.95	135.29
207.12	193.63	165.67	177.16	206.42	151.83	216.6	151.43	145.88	166.4	208.07	171.3	207.31	167.86	182.86	190.05	190.92	162.86	171.75	158.96	173.74	179.63	203.24	165.72	152.44	184.32	188.45	195.15	157.55	249.94	244.03	135.91
207.81	194.67	166.49	177.63	207.38	151.52	217.03	152.92	145.68	168.06	208.86	172.77	209.21	168.36	184.21	190.25	191.09	164.64	173.09	157.84	174.57	180.49	204.54	166.21	153.4	184.85	188.6	195.9	157.79	251.62	244.53	136.88
208.55	195.54	167.5	179.25	208.75	153.52	217.75	153.74	147.43	168.85	211.02	173.55	209.67	169.07	185.42	191.33	191.3	165.39	173.28	159.68	175.05	181.19	205.39	167.53	154.53	185.48	189.59	197.04	159.88	252.33	245.38	137.79
209.32	196.23	168.4	179.74	209.9	153.92	218.81	154.41	147.52	168.79	210.24	174.51	210.55	171.04	186.27	192.2	192.46	166.06	174.42	161.58	177.32	182.25	206.65	168.01	155.46	187.04	190.26	197.88	160.55	253.19	246.18	137.98
210.34	197.07	169.52	180.05	210.3	153.92	218.93	155.52	148.99	169.42	212.26	175.44	211.17	170.67	186.66	193.76	193.71	166.22	173.8	161.77	177.29	183.41	206.27	169.03	155.19	186.97	191.07	197.91	160.77	254.26	246.86	139.66
