row	module	vpp	sig	mean
0	0	794.1	29.42	817.5
0	1	744.5	31.28	771.72
0	2	567.9	30.64	599.53
0	3	720.8	28.76	743.44
0	4	570.3	29.22	603.19
0	5	582.8	25.36	612.19
1	0	717	27.75	746.42
1	1	722.4	28.09	750.97
1	2	679.2	31.15	711.11
1	3	680.9	27.59	710.38
1	4	672.7	29.78	705.78
1	5	690.4	35.14	723.83
2	0	752.2	27.77	782.37
2	1	517.4	25.19	547.43
2	2	506.2	23.59	534.11
2	3	NaN	NaN	NaN
2	4	NaN	NaN	NaN
2	5	NaN	NaN	NaN
3	0	797.5	31.79	823.85
3	1	738.1	26.26	760.72
3	2	726.8	30.21	750.22
3	3	723.5	31.62	748.22
3	4	724.9	31.23	754.51
3	5	700.6	28.02	730.26
4	0	742.7	27.15	766.85
4	1	705	30	740.33
4	2	716.4	26.52	743.69
4	3	680	26.05	706.64
4	4	697.2	25.87	722.52
4	5	708.9	27.89	736.84
5	0	694.5	29.68	729.63
5	1	696.3	29.18	727.9
5	2	687.2	27.22	714.43
5	3	668.3	29.7	693.98
5	4	715.4	24.27	743.98
5	5	700.9	31.51	733.34
