INDEX
ENC_l_m: ENC obtained with pedestal rms and linear gain fit with mean values
ENC_l_mwo: ENC obtained with pedestal rms and linear gain fit with mean values without outliers
ENC_3_m: ENC obtained with pedestal rms and cubic gain fit with mean values
ENC_3_mwo: ENC obtained with pedestal rms and cubic gain fit with mean values without outliers
-----------------------------------------------------------------
ch	pt	ENC_l_m	ENC_l_mwo	ENC_3_m	ENC_3_mwo
 0	 0	9.753	9.570	8.295	8.189
 0	 1	7.345	7.163	6.247	6.130
 0	 2	5.980	5.828	5.086	4.987
 0	 3	5.541	5.417	4.713	4.635
 0	 4	5.228	5.175	4.447	4.428
 0	 5	5.068	5.012	4.311	4.289
 0	 6	4.894	4.759	4.162	4.072
 0	 7	4.661	4.472	3.964	3.827
 1	 0	7.474	7.264	6.443	6.300
 1	 1	5.842	5.653	5.036	4.902
 1	 2	5.100	4.993	4.397	4.330
 1	 3	4.977	4.866	4.290	4.220
 1	 4	4.712	4.633	4.062	4.018
 1	 5	4.571	4.467	3.941	3.874
 1	 6	4.518	4.376	3.895	3.795
 1	 7	4.695	4.539	4.048	3.936
 2	 0	7.886	7.838	6.584	6.532
 2	 1	6.185	6.024	5.163	5.020
 2	 2	5.665	5.644	4.729	4.703
 2	 3	5.722	5.630	4.777	4.691
 2	 4	5.266	5.162	4.396	4.302
 2	 5	5.065	5.043	4.229	4.203
 2	 6	5.202	5.152	4.343	4.293
 2	 7	5.009	4.968	4.181	4.140
 3	 0	8.197	8.115	6.960	6.901
 3	 1	6.736	6.707	5.719	5.703
 3	 2	6.275	6.157	5.328	5.235
 3	 3	5.923	5.863	5.029	4.986
 3	 4	5.604	5.547	4.759	4.717
 3	 5	5.332	5.310	4.528	4.515
 3	 6	5.382	5.353	4.570	4.551
 3	 7	5.192	5.134	4.409	4.366
 4	 0	8.540	8.517	7.349	7.323
 4	 1	6.850	6.863	5.895	5.900
 4	 2	6.102	6.088	5.251	5.234
 4	 3	5.808	5.720	4.998	4.918
 4	 4	5.572	5.407	4.795	4.649
 4	 5	5.380	5.321	4.629	4.575
 4	 6	5.209	5.143	4.483	4.421
 4	 7	5.421	5.239	4.665	4.504
 5	 0	8.637	8.564	7.545	7.463
 5	 1	7.149	7.022	6.245	6.120
 5	 2	6.240	6.209	5.451	5.411
 5	 3	5.926	5.874	5.176	5.119
 5	 4	5.415	5.210	4.730	4.541
 5	 5	5.437	5.387	4.749	4.694
 5	 6	5.284	5.224	4.616	4.552
 5	 7	5.211	5.097	4.552	4.442
 6	 0	9.423	9.331	8.160	8.086
 6	 1	7.291	7.253	6.314	6.285
 6	 2	6.537	6.537	5.661	5.665
 6	 3	6.066	5.891	5.253	5.105
 6	 4	6.166	6.084	5.340	5.272
 6	 5	5.829	5.829	5.048	5.051
 6	 6	5.471	5.471	4.738	4.741
 6	 7	5.327	5.304	4.613	4.596
 7	 0	9.901	9.831	8.122	8.039
 7	 1	7.471	7.374	6.129	6.029
 7	 2	6.584	6.532	5.401	5.341
 7	 3	5.982	5.810	4.907	4.751
 7	 4	5.650	5.626	4.635	4.600
 7	 5	5.270	5.294	4.323	4.329
 7	 6	5.185	5.160	4.253	4.219
 7	 7	5.028	4.985	4.125	4.076
 8	 0	8.903	8.321	7.538	7.019
 8	 1	7.393	7.341	6.259	6.192
 8	 2	6.434	6.361	5.447	5.366
 8	 3	5.772	5.753	4.886	4.853
 8	 4	5.785	5.799	4.898	4.891
 8	 5	5.454	5.466	4.617	4.611
 8	 6	5.523	5.404	4.676	4.559
 8	 7	5.566	5.523	4.712	4.659
 9	 0	8.281	7.926	7.295	7.040
 9	 1	6.548	6.500	5.769	5.774
 9	 2	5.583	5.378	4.918	4.777
 9	 3	4.980	4.770	4.387	4.237
 9	 4	4.965	4.875	4.374	4.330
 9	 5	4.964	4.830	4.373	4.291
 9	 6	4.672	4.616	4.116	4.101
 9	 7	4.643	4.608	4.090	4.093
10	 0	8.130	7.985	7.023	6.888
10	 1	6.792	6.607	5.867	5.700
10	 2	6.025	5.897	5.205	5.086
10	 3	5.121	5.101	4.424	4.400
10	 4	5.142	5.063	4.441	4.367
10	 5	5.256	5.110	4.540	4.408
10	 6	5.018	4.877	4.334	4.207
10	 7	4.961	4.891	4.286	4.219
11	 0	7.834	7.675	6.712	6.606
11	 1	6.198	6.152	5.310	5.295
11	 2	5.645	5.605	4.836	4.825
11	 3	5.415	5.369	4.639	4.621
11	 4	5.205	5.149	4.459	4.432
11	 5	5.149	5.091	4.411	4.382
11	 6	4.886	4.751	4.186	4.090
11	 7	4.871	4.816	4.173	4.145
12	 0	7.326	7.032	6.255	6.030
12	 1	5.882	5.810	5.022	4.982
12	 2	5.437	5.397	4.643	4.627
12	 3	5.169	5.053	4.414	4.332
12	 4	5.285	5.223	4.513	4.479
12	 5	5.025	4.898	4.291	4.200
