Peaking Times - based on Mean values without Outliers [us]
  #0	  #1	  #2	  #3	  #4	  #5	  #6	  #7	  #8	  #9	 #10	 #11	 #12	 #13	 #14	 #15	 #16	 #17	 #18	 #19	 #20	 #21	 #22	 #23	 #24	 #25	 #26	 #27	 #28	 #29	 #30	 #31	mean	std	median	outliers	mean_w/o_out	std_w/o_out
1.2083	1.2292	1.2500	1.2708	1.2083	1.2292	1.2292	1.2292	1.2708	1.2292	1.2292	1.2292	1.2500	1.1875	1.2083	1.1875	1.1875	1.1875	1.2292	1.1875	1.2292	1.1875	1.2292	1.2083	1.2083	1.2083	1.2083	1.2292	1.1875	1.2083	1.1875	1.2083	1.2168	0.0236	1.2083	  0	1.2168	0.0236
1.2083	1.2292	1.2500	1.2708	1.2083	1.2292	1.2292	1.2292	1.2708	1.2292	1.2292	1.2292	1.2500	1.1875	1.2083	1.1875	1.1875	1.1875	1.2292	1.1875	1.2292	1.1875	1.2292	1.2083	1.2083	1.2083	1.2083	1.2292	1.1875	1.2083	1.1875	1.2083	1.2168	0.0236	1.2083	  0	1.2168	0.0236
1.2083	1.2292	1.2500	1.2708	1.2083	1.2292	1.2292	1.2292	1.2708	1.2292	1.2292	1.2292	1.2500	1.1875	1.2083	1.1875	1.1875	1.1875	1.2292	1.1875	1.2292	1.1875	1.2292	1.2083	1.2083	1.2083	1.2083	1.2292	1.1875	1.2083	1.1875	1.2083	1.2168	0.0236	1.2083	  0	1.2168	0.0236
1.2083	1.2292	1.2500	1.2708	1.2083	1.2292	1.2292	1.2292	1.2708	1.2292	1.2292	1.2292	1.2500	1.1875	1.2083	1.1875	1.1875	1.1875	1.2292	1.1875	1.2292	1.1875	1.2292	1.2083	1.2083	1.2083	1.2083	1.2292	1.1875	1.2083	1.1875	1.2083	1.2168	0.0236	1.2083	  0	1.2168	0.0236
1.2083	1.2292	1.2500	1.2708	1.2083	1.2292	1.2292	1.2292	1.2708	1.2292	1.2292	1.2292	1.2500	1.1875	1.2083	1.1875	1.1875	1.1875	1.2292	1.1875	1.2292	1.1875	1.2292	1.2083	1.2083	1.2083	1.2083	1.2292	1.1875	1.2083	1.1875	1.2083	1.2168	0.0236	1.2083	  0	1.2168	0.0236
1.2083	1.2292	1.2500	1.2708	1.2083	1.2292	1.2292	1.2292	1.2708	1.2292	1.2292	1.2292	1.2500	1.1875	1.2083	1.1875	1.1875	1.1875	1.2292	1.1875	1.2292	1.1875	1.2292	1.2083	1.2083	1.2083	1.2083	1.2292	1.1875	1.2083	1.1875	1.2083	1.2168	0.0236	1.2083	  0	1.2168	0.0236
1.2083	1.2292	1.2500	1.2708	1.2083	1.2292	1.2292	1.2292	1.2708	1.2292	1.2292	1.2292	1.2500	1.1875	1.2083	1.1875	1.1875	1.1875	1.2292	1.1875	1.2292	1.1875	1.2292	1.2083	1.2083	1.2083	1.2083	1.2292	1.1875	1.2083	1.1875	1.2083	1.2168	0.0236	1.2083	  0	1.2168	0.0236
1.2083	1.2292	1.2500	1.2708	1.2083	1.2292	1.2292	1.2292	1.2708	1.2292	1.2292	1.2292	1.2500	1.1875	1.2083	1.1875	1.1875	1.1875	1.2292	1.1875	1.2292	1.1875	1.2292	1.2083	1.2083	1.2083	1.2083	1.2292	1.1875	1.2083	1.1875	1.2083	1.2168	0.0236	1.2083	  0	1.2168	0.0236
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Peaking Times - based on Mean values with outliers [us]
