# ASIC configuration for the measurements:
# ------------------------------------------------------------------------------
# Mode = 000
# Bias = 0101
# CSArefs = 011
# Shaper = 100
# Leakage mask = 00000000000000000000000000000000
# Discr. enable mask = 00000000000000000010000000000000
# Calibration mask = 00000000000000000010000000000000
# Threshold = 200
# FineTHR[0] = 011
# FineTHR[1] = 011
# FineTHR[2] = 011
# FineTHR[3] = 011
# FineTHR[4] = 011
# FineTHR[5] = 011
# FineTHR[6] = 011
# FineTHR[7] = 011
# FineTHR[8] = 011
# FineTHR[9] = 011
# FineTHR[10] = 011
# FineTHR[11] = 011
# FineTHR[12] = 011
# FineTHR[13] = 011
# FineTHR[14] = 011
# FineTHR[15] = 011
# FineTHR[16] = 011
# FineTHR[17] = 011
# FineTHR[18] = 011
# FineTHR[19] = 011
# FineTHR[20] = 011
# FineTHR[21] = 011
# FineTHR[22] = 011
# FineTHR[23] = 011
# FineTHR[24] = 011
# FineTHR[25] = 011
# FineTHR[26] = 011
# FineTHR[27] = 011
# FineTHR[28] = 011
# FineTHR[29] = 011
# FineTHR[30] = 011
# FineTHR[31] = 011
# ------------------------------------------------------------------------------
# Event data block #1
# Delay	DAC	Type	CH#	Value
ST	1000	10	14	200
ST	1000	10	14	557
ST	1000	10	14	552
ST	1000	10	14	196
ST	1000	10	14	191
ST	1000	10	14	190
ST	1000	10	14	559
ST	1000	10	14	197
ST	1000	10	14	550
ST	1000	10	14	198
ST	1000	10	14	554
ST	1000	10	14	202
ST	1000	10	14	556
ST	1000	10	14	635
ST	1000	10	14	568
ST	1000	10	14	204
ST	1000	10	14	189
ST	1000	10	14	556
ST	1000	10	14	198
ST	1000	10	14	563
ST	1000	10	14	202
ST	1000	10	14	192
ST	1000	10	14	557
ST	1000	10	14	205
ST	1000	10	14	561
ST	1000	10	14	200
ST	1000	10	14	561
ST	1000	10	14	197
ST	1000	10	14	557
ST	1000	10	14	197
ST	1000	10	14	550
ST	1000	10	14	199
ST	1000	10	14	554
ST	1000	10	14	197
ST	1000	10	14	552
ST	1000	10	14	203
ST	1000	10	14	559
ST	1000	10	14	202
ST	1000	10	14	190
ST	1000	10	14	565
ST	1000	10	14	202
ST	1000	10	14	556
ST	1000	10	14	198
ST	1000	10	14	550
ST	1000	10	14	194
ST	1000	10	14	553
ST	1000	10	14	200
ST	1000	10	14	557
ST	1000	10	14	194
ST	1000	10	14	557
ST	1000	10	14	198
ST	1000	10	14	189
ST	1000	10	14	554
ST	1000	10	14	197
ST	1000	10	14	554
ST	1000	10	14	194
ST	1000	10	14	560
ST	1000	10	14	197
ST	1000	10	14	190
ST	1000	10	14	554
ST	1000	10	14	194
ST	1000	10	14	554
ST	1000	10	14	201
ST	1000	10	14	189
ST	1000	10	14	558
ST	1000	10	14	200
ST	1000	10	14	557
ST	1000	10	14	555
ST	1000	10	14	197
ST	1000	10	14	189
ST	1000	10	14	560
ST	1000	10	14	197
ST	1000	10	14	556
ST	1000	10	14	198
ST	1000	10	14	562
ST	1000	10	14	203
ST	1000	10	14	564
ST	1000	10	14	200
ST	1000	10	14	556
ST	1000	10	14	197
ST	1000	10	14	558
ST	1000	10	14	194
ST	1000	10	14	559
ST	1000	10	14	558
ST	1000	10	14	194
ST	1000	10	14	557
ST	1000	10	14	552
ST	1000	10	14	197
ST	1000	10	14	557
ST	1000	10	14	204
ST	1000	10	14	559
ST	1000	10	14	196
ST	1000	10	14	559
ST	1000	10	14	200
ST	1000	10	14	554
ST	1000	10	14	196
ST	1000	10	14	553
ST	1000	10	14	197
ST	1000	10	14	556
ST	1000	10	14	197
