INDEX
ENC_l_m: ENC obtained with pedestal rms and linear gain fit with mean values
ENC_l_mwo: ENC obtained with pedestal rms and linear gain fit with mean values without outliers
ENC_3_m: ENC obtained with pedestal rms and cubic gain fit with mean values
ENC_3_mwo: ENC obtained with pedestal rms and cubic gain fit with mean values without outliers
-----------------------------------------------------------------
ch	pt	ENC_l_m	ENC_l_mwo	ENC_3_m	ENC_3_mwo
 0	 0	10.597	7.183	11.724	8.015
 0	 1	37.667	8.947	32.482	8.526
 0	 2	32.969	9.302	29.823	8.847
 0	 3	27.162	9.956	26.240	9.112
 0	 4	26.753	10.603	26.252	9.796
 0	 5	20.480	10.614	19.870	10.483
 0	 6	18.732	9.250	18.412	8.812
 0	 7	15.054	8.767	14.736	8.879
 1	 0	11.313	8.539	8.935	6.659
 1	 1	35.150	11.143	26.186	8.620
 1	 2	29.549	9.417	24.893	8.190
 1	 3	24.124	8.769	21.717	7.704
 1	 4	22.789	7.644	20.805	6.765
 1	 5	17.156	9.933	15.446	8.901
 1	 6	14.293	8.327	12.996	7.515
 1	 7	12.650	8.479	11.009	7.586
 2	 0	11.546	9.725	9.076	7.464
 2	 1	35.825	10.710	26.879	8.487
 2	 2	31.246	10.403	25.500	8.998
 2	 3	24.746	9.676	22.146	8.589
 2	 4	24.115	10.081	21.303	8.519
 2	 5	17.390	10.128	15.440	8.864
 2	 6	14.852	10.413	13.223	9.186
 2	 7	12.530	10.393	10.916	9.357
 3	 0	11.617	9.858	9.173	7.643
 3	 1	36.730	9.224	27.213	7.316
 3	 2	31.577	9.694	25.671	8.261
 3	 3	26.368	10.889	22.583	9.126
 3	 4	24.717	9.859	21.813	8.419
 3	 5	18.615	9.657	15.990	8.445
 3	 6	15.115	10.166	13.946	9.412
 3	 7	12.839	7.592	11.657	7.067
 4	 0	13.639	10.347	10.914	8.133
 4	 1	44.366	12.336	33.674	9.765
 4	 2	40.444	12.174	32.241	10.286
 4	 3	31.064	12.098	27.807	10.517
 4	 4	31.391	12.732	27.973	10.809
 4	 5	22.812	10.914	20.522	9.790
