ch	pt	fine_thr	a_fit	b_fit
 0	 0	 0	241.757	19.621
 0	 0	 1	241.606	20.627
 0	 0	 2	240.698	20.715
 0	 0	 3	239.644	21.250
 0	 0	 4	239.351	21.893
 0	 0	 5	238.237	21.858
 0	 0	 6	237.807	22.122
 0	 0	 7	236.918	22.614
 0	 1	 0	241.779	19.367
 0	 1	 1	241.184	19.613
 0	 1	 2	241.143	20.961
 0	 1	 3	240.096	21.200
 0	 1	 4	239.571	21.762
 0	 1	 5	237.733	20.664
 0	 1	 6	235.688	18.627
 0	 1	 7	235.707	20.077
 0	 2	 0	239.577	15.303
 0	 2	 1	238.656	15.730
 0	 2	 2	238.008	15.999
 0	 2	 3	237.172	16.379
 0	 2	 4	236.306	16.513
 0	 2	 5	232.932	11.568
 0	 2	 6	231.955	11.715
 0	 2	 7	231.028	11.644
 0	 3	 0	237.117	12.138
 0	 3	 1	236.230	12.460
 0	 3	 2	235.506	12.919
 0	 3	 3	234.583	13.071
 0	 3	 4	233.572	12.971
 0	 3	 5	233.698	13.495
 0	 3	 6	232.620	13.794
 0	 3	 7	232.069	14.163
 0	 4	 0	234.041	7.828
 0	 4	 1	232.951	7.556
 0	 4	 2	232.146	7.592
 0	 4	 3	231.170	7.589
 0	 4	 4	230.331	7.988
 0	 4	 5	229.157	6.076
 0	 4	 6	228.182	5.972
 0	 4	 7	227.285	6.174
 0	 5	 0	232.348	5.267
 0	 5	 1	231.307	5.211
 0	 5	 2	230.536	5.229
 0	 5	 3	229.406	5.301
 0	 5	 4	228.497	5.366
 0	 5	 5	227.729	4.041
 0	 5	 6	226.784	3.964
 0	 5	 7	225.735	3.930
 0	 6	 0	231.518	4.280
 0	 6	 1	230.558	4.243
 0	 6	 2	229.718	4.087
 0	 6	 3	228.536	4.166
 0	 6	 4	227.775	4.052
 0	 6	 5	226.959	3.191
 0	 6	 6	225.869	3.188
 0	 6	 7	224.948	3.103
 0	 7	 0	230.922	3.953
 0	 7	 1	229.885	4.005
 0	 7	 2	228.979	3.899
 0	 7	 3	227.845	4.055
 0	 7	 4	226.982	4.006
 0	 7	 5	225.891	3.452
 0	 7	 6	225.155	3.609
 0	 7	 7	224.127	3.479
 1	 0	 0	226.831	5.104
 1	 0	 1	225.756	5.074
 1	 0	 2	224.936	5.206
 1	 0	 3	223.630	5.064
 1	 0	 4	222.705	5.007
 1	 0	 5	221.777	5.074
 1	 0	 6	220.800	4.415
 1	 0	 7	219.825	4.272
 1	 1	 0	225.699	3.537
 1	 1	 1	224.723	3.577
 1	 1	 2	223.693	3.416
 1	 1	 3	222.818	3.504
 1	 1	 4	221.714	3.499
 1	 1	 5	220.688	3.490
 1	 1	 6	219.575	2.673
 1	 1	 7	218.701	2.609
 1	 2	 0	225.313	2.740
 1	 2	 1	224.264	2.654
 1	 2	 2	223.315	2.768
 1	 2	 3	222.279	2.691
 1	 2	 4	221.308	2.637
 1	 2	 5	219.734	0.763
 1	 2	 6	218.824	0.687
 1	 2	 7	217.953	0.686
 1	 3	 0	225.089	2.276
 1	 3	 1	224.067	2.257
 1	 3	 2	223.165	2.245
 1	 3	 3	222.030	2.239
 1	 3	 4	221.072	2.241
 1	 3	 5	219.737	0.634
 1	 3	 6	218.776	0.531
 1	 3	 7	217.923	0.592
 1	 4	 0	225.023	1.974
 1	 4	 1	223.933	2.016
 1	 4	 2	222.995	1.920
 1	 4	 3	221.889	1.745
 1	 4	 4	220.878	1.793
 1	 4	 5	219.671	0.520
 1	 4	 6	218.846	0.527
 1	 4	 7	217.930	0.533
 1	 5	 0	224.790	1.537
 1	 5	 1	223.803	1.442
 1	 5	 2	222.859	1.287
 1	 5	 3	221.771	1.455
 1	 5	 4	220.749	1.327
 1	 5	 5	219.749	0.498
 1	 5	 6	218.856	0.492
 1	 5	 7	217.928	0.471
 1	 6	 0	224.738	1.173
 1	 6	 1	223.755	1.227
 1	 6	 2	222.824	1.142
 1	 6	 3	221.750	1.155
 1	 6	 4	220.760	1.148
 1	 6	 5	219.735	0.465
 1	 6	 6	218.809	0.422
 1	 6	 7	217.945	0.443
 1	 7	 0	224.867	1.104
 1	 7	 1	223.771	1.012
 1	 7	 2	222.794	1.091
 1	 7	 3	221.754	1.102
 1	 7	 4	220.777	1.036
 1	 7	 5	219.707	0.417
 1	 7	 6	218.867	0.411
 1	 7	 7	217.940	0.405
 2	 0	 0	225.348	4.697
 2	 0	 1	224.336	4.671
 2	 0	 2	223.438	4.786
 2	 0	 3	222.327	4.661
 2	 0	 4	221.347	4.511
 2	 0	 5	220.424	4.558
 2	 0	 6	219.512	3.934
 2	 0	 7	218.495	3.750
 2	 1	 0	224.195	2.822
 2	 1	 1	223.254	2.990
 2	 1	 2	222.329	2.799
 2	 1	 3	221.505	3.020
 2	 1	 4	220.395	2.951
 2	 1	 5	219.447	2.885
 2	 1	 6	218.173	0.935
 2	 1	 7	217.202	1.017
 2	 2	 0	223.864	1.815
 2	 2	 1	222.987	1.914
 2	 2	 2	221.975	1.922
 2	 2	 3	220.986	1.836
 2	 2	 4	220.089	1.907
 2	 2	 5	218.969	0.716
 2	 2	 6	218.122	0.652
 2	 2	 7	217.146	0.730
 2	 3	 0	223.780	1.576
 2	 3	 1	222.761	1.477
 2	 3	 2	221.922	1.535
 2	 3	 3	220.939	1.612
 2	 3	 4	219.941	1.524
 2	 3	 5	219.006	0.586
 2	 3	 6	218.025	0.599
 2	 3	 7	217.084	0.622
 2	 4	 0	223.763	1.333
 2	 4	 1	222.805	1.429
 2	 4	 2	221.853	1.337
 2	 4	 3	220.877	1.310
 2	 4	 4	219.903	1.316
 2	 4	 5	218.957	0.509
 2	 4	 6	218.076	0.532
 2	 4	 7	217.063	0.527
 2	 5	 0	223.730	1.182
 2	 5	 1	222.766	1.198
 2	 5	 2	221.819	1.112
 2	 5	 3	220.855	1.262
 2	 5	 4	219.874	1.187
 2	 5	 5	218.883	0.425
 2	 5	 6	218.036	0.442
 2	 5	 7	217.069	0.511
 2	 6	 0	223.699	1.050
 2	 6	 1	222.722	1.142
 2	 6	 2	221.769	1.111
 2	 6	 3	220.771	1.095
 2	 6	 4	219.842	1.039
 2	 6	 5	218.893	0.458
 2	 6	 6	218.042	0.452
 2	 6	 7	217.127	0.475
 2	 7	 0	223.730	1.049
 2	 7	 1	222.821	1.071
 2	 7	 2	221.774	0.976
 2	 7	 3	220.866	1.117
 2	 7	 4	219.855	0.956
 2	 7	 5	218.970	0.440
 2	 7	 6	218.077	0.421
 2	 7	 7	217.126	0.435
 3	 0	 0	227.894	4.529
 3	 0	 1	226.901	4.454
 3	 0	 2	225.955	4.556
 3	 0	 3	224.771	4.561
 3	 0	 4	223.981	4.427
 3	 0	 5	223.137	4.506
 3	 0	 6	222.102	3.683
 3	 0	 7	221.164	3.544
 3	 1	 0	227.108	3.347
 3	 1	 1	226.167	3.315
 3	 1	 2	225.115	3.144
 3	 1	 3	224.277	3.148
 3	 1	 4	223.337	3.203
 3	 1	 5	222.419	3.226
 3	 1	 6	221.380	2.454
 3	 1	 7	220.340	2.348
 3	 2	 0	226.858	2.597
 3	 2	 1	225.824	2.688
 3	 2	 2	224.858	2.693
 3	 2	 3	223.836	2.661
 3	 2	 4	222.998	2.576
 3	 2	 5	222.051	1.820
 3	 2	 6	221.085	1.855
 3	 2	 7	220.085	1.759
 3	 3	 0	226.705	2.468
 3	 3	 1	225.620	2.432
 3	 3	 2	224.662	2.485
 3	 3	 3	223.768	2.381
 3	 3	 4	222.902	2.474
 3	 3	 5	221.730	1.349
 3	 3	 6	220.695	1.394
 3	 3	 7	219.725	1.204
 3	 4	 0	226.578	2.339
 3	 4	 1	225.645	2.215
 3	 4	 2	224.635	2.105
 3	 4	 3	223.616	2.121
 3	 4	 4	222.742	2.232
 3	 4	 5	221.608	1.064
 3	 4	 6	220.528	1.083
 3	 4	 7	219.555	0.980
 3	 5	 0	226.524	1.931
 3	 5	 1	225.489	1.917
 3	 5	 2	224.485	1.832
 3	 5	 3	223.439	1.945
 3	 5	 4	222.595	1.810
 3	 5	 5	221.520	0.658
 3	 5	 6	220.355	0.552
 3	 5	 7	219.448	0.541
 3	 6	 0	226.217	1.374
 3	 6	 1	225.265	1.506
 3	 6	 2	224.222	1.356
 3	 6	 3	223.353	1.345
 3	 6	 4	222.496	1.490
 3	 6	 5	221.381	0.509
 3	 6	 6	220.421	0.503
 3	 6	 7	219.462	0.487
 3	 7	 0	226.121	1.179
 3	 7	 1	225.219	1.254
 3	 7	 2	224.171	1.121
 3	 7	 3	223.266	0.997
 3	 7	 4	222.351	1.199
 3	 7	 5	221.442	0.457
 3	 7	 6	220.401	0.499
 3	 7	 7	219.422	0.471
 4	 0	 0	223.111	4.441
 4	 0	 1	222.274	4.533
 4	 0	 2	221.336	4.574
 4	 0	 3	220.274	4.351
 4	 0	 4	219.292	4.147
 4	 0	 5	218.453	4.384
 4	 0	 6	217.075	2.375
 4	 0	 7	216.118	2.422
 4	 1	 0	222.456	2.476
 4	 1	 1	221.484	2.582
 4	 1	 2	220.530	2.377
 4	 1	 3	219.628	2.679
 4	 1	 4	218.737	2.612
 4	 1	 5	217.757	2.519
 4	 1	 6	216.756	1.117
 4	 1	 7	215.838	1.125
 4	 2	 0	222.290	1.859
 4	 2	 1	221.369	1.949
 4	 2	 2	220.371	2.032
 4	 2	 3	219.555	1.797
 4	 2	 4	218.578	1.959
 4	 2	 5	217.554	0.735
 4	 2	 6	216.733	0.913
 4	 2	 7	215.740	0.840
 4	 3	 0	222.173	1.718
 4	 3	 1	221.323	1.543
 4	 3	 2	220.331	1.736
 4	 3	 3	219.432	1.678
 4	 3	 4	218.585	1.612
 4	 3	 5	217.583	0.687
 4	 3	 6	216.696	0.708
 4	 3	 7	215.788	0.842
 4	 4	 0	222.189	1.550
 4	 4	 1	221.284	1.472
 4	 4	 2	220.359	1.514
 4	 4	 3	219.397	1.481
 4	 4	 4	218.540	1.397
 4	 4	 5	217.562	0.617
 4	 4	 6	216.635	0.639
 4	 4	 7	215.680	0.646
 4	 5	 0	222.243	1.327
 4	 5	 1	221.252	1.346
 4	 5	 2	220.303	1.300
 4	 5	 3	219.381	1.290
 4	 5	 4	218.510	1.226
 4	 5	 5	217.493	0.558
 4	 5	 6	216.622	0.544
 4	 5	 7	215.721	0.542
 4	 6	 0	222.223	1.194
 4	 6	 1	221.218	1.184
 4	 6	 2	220.307	1.144
 4	 6	 3	219.343	1.171
 4	 6	 4	218.507	1.022
 4	 6	 5	217.568	0.463
 4	 6	 6	216.660	0.552
 4	 6	 7	215.717	0.538
 4	 7	 0	222.167	1.084
 4	 7	 1	221.245	1.156
 4	 7	 2	220.273	1.067
 4	 7	 3	219.382	1.077
 4	 7	 4	218.500	0.947
 4	 7	 5	217.546	0.472
 4	 7	 6	216.663	0.509
 4	 7	 7	215.610	0.500
 5	 0	 0	235.792	4.466
 5	 0	 1	234.981	4.429
 5	 0	 2	234.130	4.482
 5	 0	 3	233.328	4.431
 5	 0	 4	232.165	4.591
 5	 0	 5	231.323	4.570
 5	 0	 6	230.424	3.772
 5	 0	 7	229.550	3.782
 5	 1	 0	235.306	3.114
