# ASIC configuration for the measurements:
# ------------------------------------------------------------------------------
# Mode = 000 
# Bias = 0101 
# CSArefs = 0111 
# Shaper = 001 
# Leakage mask = 00000000000000000000000000000000 
# Discr. enable mask = 11111111111111111111111111111111 
# Calibration mask = 00000000000000000000000000000000 
# Threshold = 255 
# FineTHR[0] = 011 
# FineTHR[1] = 011 
# FineTHR[2] = 011 
# FineTHR[3] = 011 
# FineTHR[4] = 011 
# FineTHR[5] = 011 
# FineTHR[6] = 011 
# FineTHR[7] = 011 
# FineTHR[8] = 011 
# FineTHR[9] = 011 
# FineTHR[10] = 011 
# FineTHR[11] = 011 
# FineTHR[12] = 011 
# FineTHR[13] = 011 
# FineTHR[14] = 011 
# FineTHR[15] = 011 
# FineTHR[16] = 011 
# FineTHR[17] = 011 
# FineTHR[18] = 011 
# FineTHR[19] = 011 
# FineTHR[20] = 011 
# FineTHR[21] = 011 
# FineTHR[22] = 011 
# FineTHR[23] = 011 
# FineTHR[24] = 011 
# FineTHR[25] = 011 
# FineTHR[26] = 011 
# FineTHR[27] = 011 
# FineTHR[28] = 011 
# FineTHR[29] = 011 
# FineTHR[30] = 011 
# FineTHR[31] = 011 
# ------------------------------------------------------------------------------
# Event data block #1
# Threshold	DAC	Events	Triggered	CH#
200	0	1000	3	0
200	0	1000	4	1
200	0	1000	6	2
200	0	1000	5	3
200	0	1000	9	4
200	0	1000	0	5
200	0	1000	0	6
200	0	1000	8	7
200	0	1000	0	8
200	0	1000	2	9
200	0	1000	1	10
200	0	1000	1	11
200	0	1000	1	12
200	0	1000	4	13
200	0	1000	4	14
200	0	1000	1	15
200	0	1000	1	16
200	0	1000	0	17
200	0	1000	0	18
200	0	1000	2	19
200	0	1000	4	20
200	0	1000	0	21
200	0	1000	1	22
200	0	1000	4	23
200	0	1000	1	24
200	0	1000	2	25
200	0	1000	1	26
200	0	1000	0	27
200	0	1000	1	28
200	0	1000	2	29
200	0	1000	3	30
200	0	1000	0	31
# Event data block #2
# Threshold	DAC	Events	Triggered	CH#
201	0	1000	4	0
201	0	1000	2	1
201	0	1000	6	2
201	0	1000	3	3
201	0	1000	8	4
201	0	1000	0	5
201	0	1000	0	6
201	0	1000	6	7
201	0	1000	0	8
201	0	1000	0	9
201	0	1000	0	10
201	0	1000	0	11
201	0	1000	0	12
201	0	1000	1	13
201	0	1000	1	14
201	0	1000	0	15
201	0	1000	0	16
201	0	1000	0	17
201	0	1000	0	18
201	0	1000	0	19
201	0	1000	2	20
201	0	1000	0	21
201	0	1000	0	22
201	0	1000	3	23
201	0	1000	0	24
201	0	1000	0	25
201	0	1000	0	26
201	0	1000	0	27
201	0	1000	0	28
201	0	1000	0	29
201	0	1000	0	30
201	0	1000	0	31
# Event data block #3
# Threshold	DAC	Events	Triggered	CH#
202	0	1000	2	0
202	0	1000	2	1
202	0	1000	4	2
202	0	1000	2	3
202	0	1000	15	4
202	0	1000	0	5
202	0	1000	0	6
202	0	1000	5	7
202	0	1000	0	8
202	0	1000	0	9
202	0	1000	0	10
202	0	1000	0	11
202	0	1000	0	12
202	0	1000	3	13
202	0	1000	2	14
202	0	1000	0	15
202	0	1000	0	16
202	0	1000	0	17
202	0	1000	0	18
202	0	1000	0	19
202	0	1000	4	20
202	0	1000	0	21
202	0	1000	0	22
202	0	1000	5	23
202	0	1000	0	24
202	0	1000	2	25
202	0	1000	0	26
202	0	1000	0	27
202	0	1000	0	28
202	0	1000	0	29
202	0	1000	2	30
202	0	1000	0	31
# Event data block #4
# Threshold	DAC	Events	Triggered	CH#
203	0	1000	7	0
203	0	1000	6	1
203	0	1000	9	2
203	0	1000	6	3
203	0	1000	15	4
203	0	1000	3	5
203	0	1000	2	6
203	0	1000	13	7
203	0	1000	0	8
203	0	1000	3	9
203	0	1000	2	10
203	0	1000	2	11
203	0	1000	3	12
203	0	1000	7	13
203	0	1000	5	14
203	0	1000	3	15
203	0	1000	2	16
203	0	1000	0	17
203	0	1000	1	18
203	0	1000	3	19
203	0	1000	8	20
203	0	1000	0	21
203	0	1000	3	22
203	0	1000	7	23
203	0	1000	2	24
203	0	1000	3	25
203	0	1000	2	26
203	0	1000	2	27
203	0	1000	3	28
203	0	1000	3	29
203	0	1000	5	30
203	0	1000	0	31
# Event data block #5
# Threshold	DAC	Events	Triggered	CH#
204	0	1000	7	0
204	0	1000	6	1
204	0	1000	8	2
204	0	1000	7	3
204	0	1000	16	4
204	0	1000	2	5
204	0	1000	2	6
204	0	1000	14	7
204	0	1000	0	8
204	0	1000	2	9
204	0	1000	2	10
204	0	1000	2	11
204	0	1000	2	12
204	0	1000	9	13
204	0	1000	7	14
204	0	1000	2	15
204	0	1000	2	16
204	0	1000	0	17
204	0	1000	2	18
204	0	1000	2	19
204	0	1000	8	20
204	0	1000	0	21
204	0	1000	2	22
204	0	1000	9	23
204	0	1000	2	24
204	0	1000	2	25
204	0	1000	2	26
204	0	1000	2	27
204	0	1000	2	28
204	0	1000	2	29
204	0	1000	7	30
204	0	1000	0	31
# Event data block #6
# Threshold	DAC	Events	Triggered	CH#
205	0	1000	7	0
205	0	1000	5	1
205	0	1000	8	2
205	0	1000	5	3
205	0	1000	14	4
205	0	1000	1	5
205	0	1000	1	6
205	0	1000	11	7
205	0	1000	0	8
205	0	1000	1	9
205	0	1000	1	10
205	0	1000	1	11
205	0	1000	1	12
205	0	1000	8	13
205	0	1000	6	14
205	0	1000	1	15
205	0	1000	1	16
205	0	1000	0	17
205	0	1000	1	18
205	0	1000	2	19
205	0	1000	8	20
205	0	1000	0	21
205	0	1000	1	22
205	0	1000	8	23
205	0	1000	1	24
205	0	1000	2	25
205	0	1000	1	26
205	0	1000	0	27
205	0	1000	1	28
205	0	1000	2	29
205	0	1000	4	30
205	0	1000	0	31
# Event data block #7
# Threshold	DAC	Events	Triggered	CH#
206	0	1000	4	0
206	0	1000	7	1
206	0	1000	9	2
206	0	1000	6	3
206	0	1000	17	4
206	0	1000	0	5
206	0	1000	0	6
206	0	1000	11	7
206	0	1000	0	8
206	0	1000	0	9
206	0	1000	0	10
206	0	1000	0	11
206	0	1000	1	12
206	0	1000	8	13
206	0	1000	3	14
206	0	1000	0	15
206	0	1000	0	16
206	0	1000	0	17
206	0	1000	0	18
206	0	1000	3	19
206	0	1000	10	20
206	0	1000	0	21
206	0	1000	2	22
206	0	1000	11	23
206	0	1000	0	24
206	0	1000	3	25
206	0	1000	0	26
206	0	1000	0	27
206	0	1000	0	28
206	0	1000	2	29
206	0	1000	3	30
206	0	1000	0	31
# Event data block #8
# Threshold	DAC	Events	Triggered	CH#
207	0	1000	7	0
207	0	1000	6	1
207	0	1000	8	2
207	0	1000	7	3
207	0	1000	9	4
207	0	1000	1	5
207	0	1000	0	6
207	0	1000	8	7
207	0	1000	0	8
207	0	1000	2	9
207	0	1000	0	10
207	0	1000	0	11
207	0	1000	4	12
207	0	1000	8	13
207	0	1000	8	14
207	0	1000	2	15
207	0	1000	1	16
207	0	1000	0	17
207	0	1000	0	18
207	0	1000	4	19
207	0	1000	8	20
207	0	1000	0	21
207	0	1000	4	22
207	0	1000	9	23
207	0	1000	0	24
207	0	1000	6	25
207	0	1000	0	26
207	0	1000	0	27
207	0	1000	3	28
207	0	1000	4	29
207	0	1000	7	30
207	0	1000	0	31
# Event data block #9
# Threshold	DAC	Events	Triggered	CH#
208	0	1000	9	0
208	0	1000	9	1
208	0	1000	13	2
208	0	1000	7	3
208	0	1000	31	4
208	0	1000	3	5
208	0	1000	2	6
208	0	1000	23	7
208	0	1000	1	8
208	0	1000	3	9
208	0	1000	1	10
208	0	1000	1	11
208	0	1000	3	12
208	0	1000	21	13
208	0	1000	8	14
208	0	1000	3	15
208	0	1000	3	16
208	0	1000	1	17
208	0	1000	1	18
208	0	1000	7	19
208	0	1000	29	20
208	0	1000	1	21
208	0	1000	5	22
208	0	1000	35	23
208	0	1000	3	24
208	0	1000	6	25
208	0	1000	1	26
208	0	1000	1	27
208	0	1000	3	28
208	0	1000	4	29
208	0	1000	9	30
208	0	1000	0	31
# Event data block #10
# Threshold	DAC	Events	Triggered	CH#
209	0	1000	10	0
209	0	1000	9	1
209	0	1000	15	2
209	0	1000	9	3
209	0	1000	28	4
209	0	1000	4	5
209	0	1000	1	6
209	0	1000	25	7
209	0	1000	0	8
209	0	1000	6	9
209	0	1000	1	10
209	0	1000	1	11
209	0	1000	6	12
209	0	1000	26	13
209	0	1000	12	14
209	0	1000	6	15
209	0	1000	4	16
209	0	1000	0	17
209	0	1000	0	18
209	0	1000	11	19
209	0	1000	28	20
209	0	1000	0	21
209	0	1000	9	22
209	0	1000	32	23
209	0	1000	3	24
209	0	1000	9	25
209	0	1000	1	26
209	0	1000	0	27
209	0	1000	6	28
209	0	1000	7	29
209	0	1000	11	30
209	0	1000	0	31
# Event data block #11
# Threshold	DAC	Events	Triggered	CH#
210	0	1000	14	0
210	0	1000	13	1
210	0	1000	15	2
210	0	1000	14	3
210	0	1000	35	4
210	0	1000	3	5
210	0	1000	0	6
210	0	1000	26	7
210	0	1000	0	8
210	0	1000	5	9
210	0	1000	0	10
210	0	1000	0	11
210	0	1000	8	12
210	0	1000	31	13
210	0	1000	15	14
210	0	1000	5	15
210	0	1000	4	16
210	0	1000	0	17
210	0	1000	0	18
210	0	1000	15	19
210	0	1000	37	20
210	0	1000	0	21
210	0	1000	14	22
210	0	1000	44	23
210	0	1000	3	24
210	0	1000	14	25
210	0	1000	0	26
210	0	1000	0	27
210	0	1000	7	28
210	0	1000	8	29
210	0	1000	16	30
210	0	1000	0	31
# Event data block #12
# Threshold	DAC	Events	Triggered	CH#
211	0	1000	8	0
211	0	1000	8	1
211	0	1000	12	2
211	0	1000	7	3
211	0	1000	30	4
