# ASIC configuration for the measurements:
# ------------------------------------------------------------------------------
# Mode = 001 
# Bias = 0101 
# CSArefs = 0111 
# Shaper = 001 
# Leakage mask = 00000000000000000000000000000000 
# Discr. enable mask = 00000000000000000000000000000000 
# Calibration mask = 11111111111111111111111111111111 
# Threshold = 128 
# FineTHR[0] = 011 
# FineTHR[1] = 011 
# FineTHR[2] = 011 
# FineTHR[3] = 011 
# FineTHR[4] = 011 
# FineTHR[5] = 011 
# FineTHR[6] = 011 
# FineTHR[7] = 011 
# FineTHR[8] = 011 
# FineTHR[9] = 011 
# FineTHR[10] = 011 
# FineTHR[11] = 011 
# FineTHR[12] = 011 
# FineTHR[13] = 011 
# FineTHR[14] = 011 
# FineTHR[15] = 011 
# FineTHR[16] = 011 
# FineTHR[17] = 011 
# FineTHR[18] = 011 
# FineTHR[19] = 011 
# FineTHR[20] = 011 
# FineTHR[21] = 011 
# FineTHR[22] = 011 
# FineTHR[23] = 011 
# FineTHR[24] = 011 
# FineTHR[25] = 011 
# FineTHR[26] = 011 
# FineTHR[27] = 011 
# FineTHR[28] = 011 
# FineTHR[29] = 011 
# FineTHR[30] = 011 
# FineTHR[31] = 011 
# ------------------------------------------------------------------------------
# Event data block #1
# Delay	DAC	Type	CH#	Value
19	10	00	0	119
19	10	00	1	122
19	10	00	2	131
19	10	00	3	123
19	10	00	4	162
19	10	00	5	81
19	10	00	6	102
19	10	00	7	136
19	10	00	8	74
19	10	00	9	123
19	10	00	10	96
19	10	00	11	105
19	10	00	12	125
19	10	00	13	137
19	10	00	14	125
19	10	00	15	124
19	10	00	16	115
19	10	00	17	103
19	10	00	18	106
19	10	00	19	133
19	10	00	20	146
19	10	00	21	91
19	10	00	22	133
19	10	00	23	166
19	10	00	24	127
19	10	00	25	140
19	10	00	26	104
19	10	00	27	80
19	10	00	28	127
19	10	00	29	129
19	10	00	30	125
19	10	10	31	69
19	10	00	0	111
19	10	00	1	121
19	10	00	2	117
19	10	00	3	114
19	10	00	4	145
19	10	00	5	80
19	10	00	6	97
19	10	00	7	132
19	10	00	8	68
19	10	00	9	110
19	10	00	10	86
19	10	00	11	98
19	10	00	12	114
19	10	00	13	125
19	10	00	14	114
19	10	00	15	110
19	10	00	16	106
19	10	00	17	91
19	10	00	18	97
19	10	00	19	123
19	10	00	20	138
19	10	00	21	88
19	10	00	22	128
19	10	00	23	154
19	10	00	24	122
19	10	00	25	133
19	10	00	26	94
19	10	00	27	70
19	10	00	28	118
19	10	00	29	117
19	10	00	30	118
19	10	10	31	61
19	10	00	0	138
19	10	00	1	151
19	10	00	2	160
19	10	00	3	154
19	10	00	4	185
19	10	00	5	110
19	10	00	6	125
19	10	00	7	165
19	10	00	8	90
19	10	00	9	146
19	10	00	10	118
19	10	00	11	124
19	10	00	12	146
19	10	00	13	154
19	10	00	14	154
19	10	00	15	142
19	10	00	16	133
19	10	00	17	114
19	10	00	18	120
19	10	00	19	149
19	10	00	20	168
19	10	00	21	105
19	10	00	22	152
19	10	00	23	177
19	10	00	24	145
19	10	00	25	159
19	10	00	26	125
19	10	00	27	96
19	10	00	28	143
19	10	00	29	150
19	10	00	30	149
19	10	10	31	90
19	10	00	0	107
19	10	00	1	108
19	10	00	2	120
19	10	00	3	109
19	10	00	4	135
19	10	00	5	71
19	10	00	6	89
19	10	00	7	123
19	10	00	8	66
19	10	00	9	109
19	10	00	10	78
19	10	00	11	90
19	10	00	12	113
19	10	00	13	119
19	10	00	14	110
19	10	00	15	109
19	10	00	16	100
19	10	00	17	93
19	10	00	18	95
19	10	00	19	123
19	10	00	20	135
19	10	00	21	82
19	10	00	22	122
19	10	00	23	150
19	10	00	24	117
19	10	00	25	126
19	10	00	26	90
19	10	00	27	68
19	10	00	28	110
19	10	00	29	114
19	10	00	30	111
19	10	10	31	56
19	10	00	0	106
19	10	00	1	110
19	10	00	2	121
19	10	00	3	111
19	10	00	4	133
19	10	00	5	74
19	10	00	6	95
19	10	00	7	124
19	10	00	8	68
19	10	00	9	109
19	10	00	10	82
19	10	00	11	96
19	10	00	12	116
19	10	00	13	123
19	10	00	14	113
19	10	00	15	110
19	10	00	16	106
19	10	00	17	93
19	10	00	18	97
19	10	00	19	131
19	10	00	20	138
19	10	00	21	82
19	10	00	22	130
19	10	00	23	153
19	10	00	24	119
19	10	00	25	131
19	10	00	26	94
19	10	00	27	72
19	10	00	28	117
19	10	00	29	115
19	10	00	30	116
19	10	10	31	61
19	10	00	0	114
19	10	00	1	118
19	10	00	2	128
19	10	00	3	119
19	10	00	4	146
19	10	00	5	80
19	10	00	6	96
19	10	00	7	133
19	10	00	8	70
19	10	00	9	114
19	10	00	10	85
19	10	00	11	98
19	10	00	12	118
19	10	00	13	129
19	10	00	14	118
19	10	00	15	111
19	10	00	16	104
19	10	00	17	96
19	10	00	18	100
19	10	00	19	130
19	10	00	20	145
19	10	00	21	85
19	10	00	22	131
19	10	00	23	155
19	10	00	24	122
19	10	00	25	137
19	10	00	26	97
19	10	00	27	74
19	10	00	28	118
19	10	00	29	118
19	10	00	30	119
19	10	10	31	65
19	10	00	0	108
19	10	00	1	114
19	10	00	2	118
19	10	00	3	113
19	10	00	4	138
19	10	00	5	74
19	10	00	6	94
19	10	00	7	125
19	10	00	8	69
19	10	00	9	112
19	10	00	10	82
19	10	00	11	98
19	10	00	12	117
19	10	00	13	127
19	10	00	14	114
19	10	00	15	113
19	10	00	16	107
19	10	00	17	98
19	10	00	18	100
19	10	00	19	126
19	10	00	20	139
19	10	00	21	84
19	10	00	22	128
19	10	00	23	152
19	10	00	24	120
19	10	00	25	133
19	10	00	26	94
19	10	00	27	71
19	10	00	28	114
19	10	00	29	118
19	10	00	30	116
19	10	10	31	61
19	10	00	0	105
19	10	00	1	116
19	10	00	2	114
19	10	00	3	107
19	10	00	4	137
19	10	00	5	77
19	10	00	6	92
19	10	00	7	124
19	10	00	8	68
19	10	00	9	109
19	10	00	10	78
19	10	00	11	93
19	10	00	12	114
19	10	00	13	121
19	10	00	14	113
19	10	00	15	106
19	10	00	16	104
19	10	00	17	91
19	10	00	18	95
19	10	00	19	125
19	10	00	20	133
19	10	00	21	83
19	10	00	22	127
19	10	00	23	152
19	10	00	24	118
19	10	00	25	133
19	10	00	26	93
19	10	00	27	73
19	10	00	28	114
19	10	00	29	115
19	10	00	30	114
19	10	10	31	60
19	10	00	0	121
19	10	00	1	133
19	10	00	2	137
19	10	00	3	135
19	10	00	4	158
19	10	00	5	98
19	10	00	6	105
19	10	00	7	145
19	10	00	8	77
19	10	00	9	123
19	10	00	10	94
19	10	00	11	105
19	10	00	12	125
19	10	00	13	133
19	10	00	14	126
19	10	00	15	118
19	10	00	16	113
19	10	00	17	100
19	10	00	18	106
19	10	00	19	133
19	10	00	20	148
19	10	00	21	86
19	10	00	22	133
19	10	00	23	158
19	10	00	24	124
19	10	00	25	139
19	10	00	26	100
19	10	00	27	77
19	10	00	28	121
19	10	00	29	125
19	10	00	30	122
19	10	10	31	66
19	10	00	0	116
19	10	00	1	122
19	10	00	2	128
19	10	00	3	116
19	10	00	4	145
19	10	00	5	81
19	10	00	6	94
19	10	00	7	130
19	10	00	8	70
19	10	00	9	115
19	10	00	10	87
19	10	00	11	98
19	10	00	12	117
19	10	00	13	126
19	10	00	14	116
19	10	00	15	113
19	10	00	16	109
19	10	00	17	96
19	10	00	18	98
19	10	00	19	130
19	10	00	20	144
19	10	00	21	87
19	10	00	22	128
19	10	00	23	155
19	10	00	24	121
19	10	00	25	136
19	10	00	26	98
19	10	00	27	74
19	10	00	28	118
19	10	00	29	121
19	10	00	30	119
19	10	10	31	65
19	10	00	0	112
19	10	00	1	124
19	10	00	2	129
19	10	00	3	118
19	10	00	4	154
19	10	00	5	82
19	10	00	6	97
19	10	00	7	136
19	10	00	8	70
19	10	00	9	117
19	10	00	10	90
19	10	00	11	102
19	10	00	12	122
19	10	00	13	133
19	10	00	14	122
19	10	00	15	117
19	10	00	16	113
19	10	00	17	103
19	10	00	18	103
19	10	00	19	134
19	10	00	20	145
19	10	00	21	86
19	10	00	22	135
19	10	00	23	160
19	10	00	24	128
19	10	00	25	138
19	10	00	26	103
19	10	00	27	76
19	10	00	28	123
19	10	00	29	121
19	10	00	30	124
19	10	10	31	66
19	10	00	0	117
19	10	00	1	120
19	10	00	2	125
19	10	00	3	118
19	10	00	4	146
19	10	00	5	81
19	10	00	6	101
19	10	00	7	128
19	10	00	8	68
19	10	00	9	108
19	10	00	10	81
19	10	00	11	96
19	10	00	12	116
19	10	00	13	124
19	10	00	14	108
19	10	00	15	111
19	10	00	16	106
19	10	00	17	93
19	10	00	18	98
19	10	00	19	126
19	10	00	20	138
19	10	00	21	84
19	10	00	22	125
19	10	00	23	154
19	10	00	24	122
19	10	00	25	131
19	10	00	26	97
19	10	00	27	72
19	10	00	28	116
19	10	00	29	116
19	10	00	30	119
19	10	10	31	63
19	10	00	0	110
19	10	00	1	117
19	10	00	2	127
19	10	00	3	116
19	10	00	4	141
19	10	00	5	82
19	10	00	6	98
19	10	00	7	125
19	10	00	8	69
19	10	00	9	112
19	10	00	10	85
19	10	00	11	97
19	10	00	12	116
19	10	00	13	128
19	10	00	14	113
19	10	00	15	114
19	10	00	16	107
19	10	00	17	97
19	10	00	18	103
19	10	00	19	127
19	10	00	20	141
19	10	00	21	85
19	10	00	22	129
19	10	00	23	155
19	10	00	24	124
19	10	00	25	133
19	10	00	26	98
19	10	00	27	72
19	10	00	28	118
19	10	00	29	118
19	10	00	30	117
19	10	10	31	62
19	10	00	0	113
19	10	00	1	119
19	10	00	2	122
19	10	00	3	116
