INDEX
ENC_l_m: ENC obtained with pedestal rms and linear gain fit with mean values
ENC_l_mwo: ENC obtained with pedestal rms and linear gain fit with mean values without outliers
ENC_3_m: ENC obtained with pedestal rms and cubic gain fit with mean values
ENC_3_mwo: ENC obtained with pedestal rms and cubic gain fit with mean values without outliers
-----------------------------------------------------------------
ch	pt	ENC_l_m	ENC_l_mwo	ENC_3_m	ENC_3_mwo
 0	 0	15.563	14.206	11.722	10.670
 0	 1	12.344	11.301	9.157	8.413
 0	 2	11.801	10.992	9.339	8.684
 0	 3	10.801	10.328	9.087	8.670
 0	 4	11.033	10.828	9.550	9.388
 0	 5	11.877	11.475	10.523	10.167
 0	 6	12.996	12.931	11.812	11.748
 0	 7	14.312	14.101	13.315	13.219
 1	 0	17.033	15.525	11.529	10.628
 1	 1	12.566	11.833	9.538	8.953
 1	 2	12.258	10.976	9.668	8.676
 1	 3	11.100	10.568	9.530	9.103
 1	 4	11.539	11.194	9.831	9.542
 1	 5	12.826	12.826	10.706	10.687
 1	 6	14.283	14.308	11.988	11.916
 1	 7	15.993	15.875	14.185	14.078
 2	 0	17.087	15.336	11.804	10.669
 2	 1	13.378	12.422	9.925	9.335
 2	 2	13.426	13.112	10.395	10.149
 2	 3	13.180	12.958	10.369	10.266
 2	 4	13.065	12.875	11.053	10.959
 2	 5	15.898	15.898	13.383	13.383
 2	 6	16.782	16.749	14.496	14.527
 2	 7	19.428	19.709	16.750	16.807
 3	 0	20.129	19.124	12.978	12.271
 3	 1	15.685	14.328	11.651	10.669
 3	 2	15.060	14.389	12.089	11.569
 3	 3	14.777	14.288	12.004	11.578
 3	 4	16.023	15.734	13.987	13.735
 3	 5	19.474	19.174	16.246	16.037
 3	 6	21.513	21.513	18.387	18.389
 3	 7	23.826	23.727	21.186	21.098
 4	 0	19.811	18.742	13.674	13.023
 4	 1	17.988	17.425	13.072	12.601
 4	 2	19.162	18.535	14.602	14.164
 4	 3	19.972	19.806	15.963	15.812
 4	 4	21.821	21.728	18.835	18.818
 4	 5	27.735	27.735	23.517	23.419
 4	 6	30.930	30.930	26.383	26.132
 4	 7	33.518	33.051	31.035	31.024
 5	 0	21.482	20.161	14.242	13.464
 5	 1	19.439	18.982	14.003	13.585
 5	 2	22.860	22.575	17.558	17.419
 5	 3	25.176	24.167	19.996	20.026
 5	 4	28.109	27.986	24.480	24.269
 5	 5	35.528	35.528	29.497	29.497
 5	 6	39.946	39.742	34.516	34.171
 5	 7	45.504	45.504	40.694	40.694
 6	 0	22.294	20.694	15.246	14.179
 6	 1	20.816	20.361	15.338	14.931
 6	 2	24.652	23.918	18.802	18.532
 6	 3	27.485	27.087	21.543	21.279
 6	 4	29.606	29.925	25.907	26.118
 6	 5	36.874	36.898	31.512	31.162
 6	 6	43.648	43.648	36.571	36.558
 6	 7	50.501	50.501	43.871	43.871
 7	 0	24.269	21.762	16.322	14.578
 7	 1	19.567	18.037	14.086	13.166
 7	 2	17.056	16.271	13.001	12.446
 7	 3	14.757	13.073	11.404	10.131
 7	 4	12.163	11.585	10.111	9.620
 7	 5	11.969	11.719	9.581	9.416
 7	 6	11.644	11.534	9.328	9.222
 7	 7	11.364	11.245	10.060	9.864
 8	 0	33.356	32.355	24.125	23.043
 8	 1	32.286	31.736	22.888	22.348
 8	 2	31.571	30.484	22.241	21.399
 8	 3	23.789	23.509	19.083	18.700
 8	 4	22.889	21.164	17.780	16.897
 8	 5	17.491	16.915	14.612	14.100
 8	 6	18.021	17.360	14.207	13.680
 8	 7	13.592	12.877	12.029	11.368
 9	 0	38.797	34.936	27.804	25.535
 9	 1	38.751	35.484	27.271	26.327
 9	 2	38.596	36.798	28.635	27.325
 9	 3	32.724	32.110	25.891	25.521
 9	 4	38.031	37.242	28.819	28.315
 9	 5	36.907	37.341	30.165	29.984
 9	 6	44.729	45.519	34.584	34.792
 9	 7	42.594	42.374	37.971	37.848
10	 0	32.614	30.151	23.395	22.185
10	 1	32.176	30.011	22.876	21.831
10	 2	33.337	31.538	23.907	22.747
10	 3	28.148	28.042	22.197	22.134
10	 4	31.058	30.876	24.291	24.287
10	 5	30.563	31.114	26.125	25.970
10	 6	37.052	37.052	29.530	29.586
10	 7	34.409	34.409	32.381	32.381
11	 0	34.616	31.566	23.597	21.971
11	 1	31.355	29.393	22.189	21.388
11	 2	30.466	29.540	21.735	21.031
11	 3	23.420	23.197	18.391	17.899
11	 4	23.513	22.684	18.087	17.563
11	 5	20.218	19.750	16.392	15.578
11	 6	21.987	21.967	17.606	17.555
11	 7	20.203	20.253	18.013	18.042
12	 0	31.050	28.974	21.793	20.380
12	 1	28.936	28.201	20.292	19.996
12	 2	26.488	25.035	19.528	18.570
12	 3	21.072	21.005	16.683	16.645
12	 4	20.318	19.777	16.404	16.237
12	 5	16.571	16.602	14.144	14.025
12	 6	17.084	17.084	14.116	14.347
12	 7	15.787	15.451	14.119	13.893
13	 0	33.919	31.951	22.898	21.260
13	 1	29.302	28.389	20.754	19.906
13	 2	26.167	24.789	19.831	19.040
13	 3	20.777	20.196	16.568	16.232
13	 4	21.093	19.821	16.446	15.778
13	 5	16.372	15.585	13.743	12.971
13	 6	17.351	16.581	13.926	13.336
13	 7	15.286	14.880	14.016	13.758
14	 0	31.830	28.514	22.200	20.382
14	 1	29.418	28.358	20.404	19.997
14	 2	26.786	25.380	20.032	18.975
14	 3	20.893	20.225	17.215	16.981
14	 4	20.584	19.168	16.448	15.616
14	 5	16.640	16.266	14.426	14.075
14	 6	16.774	16.123	14.391	13.925
14	 7	15.219	14.938	13.553	13.350
15	 0	32.201	29.297	22.156	20.848
15	 1	28.852	27.669	20.280	19.522
15	 2	26.213	24.444	19.632	18.592
15	 3	21.075	20.034	16.864	16.449
15	 4	20.596	18.957	16.255	15.300
15	 5	16.524	15.708	13.906	13.167
15	 6	17.576	17.259	14.280	14.133
