ch	pt	fine_thr	a_fit	b_fit
 0	 0	 0	224.856	2.204
 0	 0	 1	223.754	2.283
 0	 0	 2	222.947	2.141
 0	 0	 3	221.836	2.312
 0	 0	 4	220.809	2.244
 0	 0	 5	219.740	2.184
 0	 0	 6	218.924	2.244
 0	 0	 7	217.907	2.193
 0	 1	 0	224.430	1.375
 0	 1	 1	223.321	1.354
 0	 1	 2	222.563	1.274
 0	 1	 3	221.498	1.314
 0	 1	 4	220.313	1.277
 0	 1	 5	219.332	1.314
 0	 1	 6	218.537	1.273
 0	 1	 7	217.607	1.252
 0	 2	 0	224.339	1.115
 0	 2	 1	223.167	1.093
 0	 2	 2	222.454	1.051
 0	 2	 3	221.382	1.116
 0	 2	 4	220.190	1.056
 0	 2	 5	219.233	1.065
 0	 2	 6	218.349	1.047
 0	 2	 7	217.339	1.056
 0	 3	 0	224.198	1.088
 0	 3	 1	223.139	1.019
 0	 3	 2	222.346	1.104
 0	 3	 3	221.265	1.093
 0	 3	 4	220.069	0.993
 0	 3	 5	219.108	0.974
 0	 3	 6	218.319	0.898
 0	 3	 7	217.331	0.963
 0	 4	 0	224.119	0.958
 0	 4	 1	223.087	0.949
 0	 4	 2	222.219	0.936
 0	 4	 3	221.275	1.010
 0	 4	 4	220.007	0.926
 0	 4	 5	219.070	0.898
 0	 4	 6	218.313	0.885
 0	 4	 7	217.234	0.937
 0	 5	 0	224.056	0.983
 0	 5	 1	223.012	1.003
 0	 5	 2	222.064	0.972
 0	 5	 3	221.170	0.989
 0	 5	 4	219.921	0.935
 0	 5	 5	218.967	0.924
 0	 5	 6	218.102	0.873
 0	 5	 7	217.152	0.975
 0	 6	 0	223.930	1.002
 0	 6	 1	222.883	1.054
 0	 6	 2	222.058	1.005
 0	 6	 3	221.063	1.024
 0	 6	 4	219.811	0.871
 0	 6	 5	218.804	0.960
 0	 6	 6	218.087	1.001
 0	 6	 7	216.957	1.014
 0	 7	 0	223.894	1.124
 0	 7	 1	222.894	1.082
 0	 7	 2	222.008	1.232
 0	 7	 3	220.974	1.186
 0	 7	 4	219.843	1.076
 0	 7	 5	218.803	0.970
 0	 7	 6	218.015	1.068
 0	 7	 7	216.954	1.097
 1	 0	 0	227.996	1.795
 1	 0	 1	226.800	1.713
 1	 0	 2	225.832	1.743
 1	 0	 3	224.696	1.835
