GAIN AT LOW ENERGIES
-----------------------------------------------------------------
Linear Fit in range [50 - 100] DAC_inj code
Cubic Fit in range [0 - 500] DAC_inj code
-----------------------------------------------------------------
INDEX
l_g_m: Gain obtained with linear fit and mean values
l_i_m: Intercept obtained with linear fit and mean values
l_r2_m: R^2 obtained with linear fit and mean values
l_rs_m: Residuals obtained with linear fit and mean values
l_g_mwo: Gain obtained with linear fit and mean values without outliers
l_i_mwo: Intercept obtained with linear fit and mean values without outliers
l_r2_mwo: R^2 obtained with linear fit and mean values without outliers
l_rs_mwo: Residuals obtained with linear fit and mean values without outliers
3_g_m: Gain obtained in x=0 with cubic fit and mean values
3_i_m: Intercept obtained with cubic fit and mean values
3_r2_m: Adjusted R^2 (adjusted for cubic fit) obtained with cubic fit and mean values
3_rs_m: Residuals obtained with cubic fit and mean values
3_g_mwo: Gain obtained in x=0 with cubic fit and mean values without outliers
3_i_mwo: Intercept obtained with cubic fit and mean values without outliers
3_r2_mwo: Adjusted R^2 (adjusted for cubic fit) obtained with cubic fit and mean values without outliers
3_rs_mwo: Residuals obtained with cubic fit and mean values without outliers
-----------------------------------------------------------------
ch	pt	l_g_m	l_i_m	l_r2_m	l_rs_m	l_g_mwo	l_i_mwo	l_r2_mwo	l_rs_mwo	3_g_m	3_i_m	3_r2_m	3_rs_m	3_g_mwo	3_i_mwo	3_r2_mwo	3_rs_mwo
 0	 0	1.279	178.830	0.9998	0.372	1.279	178.830	0.9998	0.372	1.698	163.061	0.9999	1.713	1.703	162.760	0.9999	2.171
 0	 1	1.036	179.805	0.9994	0.569	1.036	179.805	0.9994	0.569	1.397	166.244	0.9964	0.823	1.392	166.441	0.9965	0.650
 0	 2	0.920	176.160	0.9997	0.376	0.922	176.144	0.9999	0.221	1.163	167.002	0.9921	1.523	1.167	166.863	0.9923	1.633
 0	 3	0.893	171.400	0.9994	0.491	0.891	171.583	0.9999	0.203	1.062	165.308	0.9967	1.140	1.062	165.305	0.9967	1.070
 0	 4	0.844	170.615	0.9997	0.335	0.843	170.638	0.9994	0.470	0.975	165.330	0.9948	0.865	0.972	165.370	0.9948	0.916
 0	 5	0.830	167.520	0.9981	0.809	0.830	167.520	0.9981	0.809	0.936	163.585	0.9949	1.060	0.936	163.585	0.9950	1.060
 0	 6	0.813	165.710	0.9991	0.542	0.813	165.710	0.9991	0.542	0.894	162.908	0.9973	0.966	0.895	162.895	0.9973	1.106
 0	 7	0.798	164.465	0.9986	0.656	0.803	164.099	0.9988	0.620	0.858	162.592	0.9968	0.915	0.857	162.654	0.9965	1.041
 1	 0	1.199	172.190	0.9969	1.506	1.210	171.133	0.9955	1.823	1.771	150.509	0.9998	3.822	1.767	150.467	0.9998	3.788
 1	 1	0.996	165.065	0.9995	0.501	0.996	165.044	0.9995	0.491	1.312	154.476	0.9966	2.531	1.317	154.312	0.9965	2.458
 1	 2	0.869	161.770	0.9994	0.492	0.871	161.581	0.9990	0.626	1.102	152.704	0.9919	1.868	1.102	152.730	0.9919	1.927
 1	 3	0.888	154.620	0.9987	0.720	0.892	154.296	0.9994	0.493	1.034	150.486	0.9965	1.403	1.035	150.485	0.9965	1.464
 1	 4	0.823	155.390	1.0000	0.060	0.823	155.390	1.0000	0.060	0.966	149.787	0.9946	0.815	0.965	149.778	0.9946	0.729
 1	 5	0.790	154.915	0.9981	0.776	0.790	154.915	0.9981	0.776	0.947	147.945	0.9940	1.286	0.948	147.864	0.9943	1.279
 1	 6	0.762	153.925	0.9992	0.496	0.757	154.329	0.9995	0.371	0.908	147.344	0.9970	1.414	0.909	147.270	0.9969	1.725
 1	 7	0.774	150.770	1.0000	0.106	0.774	150.770	1.0000	0.106	0.872	146.886	0.9957	1.317	0.873	146.854	0.9957	1.379
 2	 0	1.202	164.255	0.9945	2.005	1.218	162.868	0.9930	2.292	1.739	144.538	0.9998	3.621	1.751	143.918	0.9998	3.984
 2	 1	0.986	158.585	0.9992	0.642	1.000	157.480	0.9993	0.589	1.329	146.623	0.9965	2.533	1.330	146.478	0.9966	2.186
 2	 2	0.853	156.280	0.9986	0.722	0.852	156.365	0.9993	0.492	1.102	145.642	0.9921	2.391	1.100	145.724	0.9924	2.402
 2	 3	0.823	152.975	0.9993	0.477	0.826	152.432	0.9998	0.287	1.046	143.132	0.9964	1.827	1.043	142.995	0.9964	1.605
 2	 4	0.835	147.995	0.9995	0.402	0.839	147.622	0.9996	0.357	0.987	142.258	0.9941	1.180	0.986	142.237	0.9942	1.253
