# ASIC configuration for the measurements:
# ------------------------------------------------------------------------------
# Mode = 010 
# Bias = 0110 
# CSArefs = 0011 
# Shaper = 100 
# Leakage mask = 00000000000000000000000000000000 
# Discr. enable mask = 00000000000000000001000000000000 
# Calibration mask = 00000000000000000001000000000000 
# Threshold = 200 
# FineTHR[0] = 011 
# FineTHR[1] = 011 
# FineTHR[2] = 011 
# FineTHR[3] = 011 
# FineTHR[4] = 011 
# FineTHR[5] = 011 
# FineTHR[6] = 011 
# FineTHR[7] = 011 
# FineTHR[8] = 011 
# FineTHR[9] = 011 
# FineTHR[10] = 011 
# FineTHR[11] = 011 
# FineTHR[12] = 011 
# FineTHR[13] = 011 
# FineTHR[14] = 011 
# FineTHR[15] = 011 
# FineTHR[16] = 011 
# FineTHR[17] = 011 
# FineTHR[18] = 011 
# FineTHR[19] = 011 
# FineTHR[20] = 011 
# FineTHR[21] = 011 
# FineTHR[22] = 011 
# FineTHR[23] = 011 
# FineTHR[24] = 011 
# FineTHR[25] = 011 
# FineTHR[26] = 011 
# FineTHR[27] = 011 
# FineTHR[28] = 011 
# FineTHR[29] = 011 
# FineTHR[30] = 011 
# FineTHR[31] = 011 
# ------------------------------------------------------------------------------
# Event data block #1
# Delay	DAC	Type	CH#	Value
ST	1000	10	12	491
ST	1000	10	12	478
ST	1000	10	12	490
ST	1000	10	12	483
ST	1000	10	12	489
ST	1000	10	12	480
ST	1000	10	12	482
ST	1000	10	12	485
ST	1000	10	12	477
ST	1000	10	12	493
ST	1000	10	12	484
ST	1000	10	12	477
ST	1000	10	12	489
ST	1000	10	12	482
ST	1000	10	12	481
ST	1000	10	12	485
ST	1000	10	12	482
ST	1000	10	12	482
ST	1000	10	12	477
ST	1000	10	12	480
ST	1000	10	12	475
ST	1000	10	12	478
ST	1000	10	12	486
ST	1000	10	12	491
ST	1000	10	12	480
ST	1000	10	12	478
ST	1000	10	12	489
ST	1000	10	12	482
ST	1000	10	12	473
ST	1000	10	12	489
ST	1000	10	12	482
ST	1000	10	12	478
ST	1000	10	12	477
ST	1000	10	12	483
ST	1000	10	12	474
ST	1000	10	12	481
ST	1000	10	12	486
ST	1000	10	12	478
ST	1000	10	12	484
ST	1000	10	12	481
ST	1000	10	12	487
ST	1000	10	12	474
ST	1000	10	12	476
ST	1000	10	12	488
ST	1000	10	12	482
ST	1000	10	12	488
ST	1000	10	12	498
ST	1000	10	12	488
ST	1000	10	12	482
ST	1000	10	12	480
ST	1000	10	12	479
ST	1000	10	12	478
ST	1000	10	12	485
ST	1000	10	12	480
ST	1000	10	12	463
ST	1000	10	12	480
ST	1000	10	12	483
ST	1000	10	12	483
ST	1000	10	12	475
ST	1000	10	12	489
ST	1000	10	12	480
ST	1000	10	12	481
ST	1000	10	12	478
ST	1000	10	12	477
ST	1000	10	12	493
ST	1000	10	12	473
ST	1000	10	12	474
ST	1000	10	12	484
ST	1000	10	12	494
ST	1000	10	12	477
ST	1000	10	12	469
ST	1000	10	12	478
ST	1000	10	12	488
ST	1000	10	12	486
ST	1000	10	12	477
ST	1000	10	12	481
ST	1000	10	12	485
ST	1000	10	12	486
ST	1000	10	12	485
ST	1000	10	12	486
ST	1000	10	12	477
ST	1000	10	12	497
ST	1000	10	12	477
ST	1000	10	12	478
ST	1000	10	12	478
ST	1000	10	12	493
ST	1000	10	12	488
ST	1000	10	12	471
ST	1000	10	12	493
ST	1000	10	12	489
ST	1000	10	12	482
ST	1000	10	12	482
ST	1000	10	12	485
ST	1000	10	12	490
ST	1000	10	12	484
ST	1000	10	12	469
ST	1000	10	12	479
ST	1000	10	12	479
ST	1000	10	12	470
ST	1000	10	12	474
