# ASIC configuration for the measurements:
# ------------------------------------------------------------------------------
# Mode = 000 
# Bias = 0110 
# CSArefs = 0011 
# Shaper = 000 
# Leakage mask = 00000000000000000000000000000000 
# Discr. enable mask = 11111111111111111111111111111111 
# Calibration mask = 00000000000000000000000000000000 
# Threshold = 255 
# FineTHR[0] = 100 
# FineTHR[1] = 100 
# FineTHR[2] = 100 
# FineTHR[3] = 100 
# FineTHR[4] = 100 
# FineTHR[5] = 100 
# FineTHR[6] = 100 
# FineTHR[7] = 100 
# FineTHR[8] = 100 
# FineTHR[9] = 100 
# FineTHR[10] = 100 
# FineTHR[11] = 100 
# FineTHR[12] = 100 
# FineTHR[13] = 100 
# FineTHR[14] = 100 
# FineTHR[15] = 100 
# FineTHR[16] = 100 
# FineTHR[17] = 100 
# FineTHR[18] = 100 
# FineTHR[19] = 100 
# FineTHR[20] = 100 
# FineTHR[21] = 100 
# FineTHR[22] = 100 
# FineTHR[23] = 100 
# FineTHR[24] = 100 
# FineTHR[25] = 100 
# FineTHR[26] = 100 
# FineTHR[27] = 100 
# FineTHR[28] = 100 
# FineTHR[29] = 100 
# FineTHR[30] = 100 
# FineTHR[31] = 100 
# ------------------------------------------------------------------------------
# Event data block #1
# Threshold	DAC	Events	Triggered	CH#
200	0	1000	0	0
200	0	1000	0	1
200	0	1000	0	2
200	0	1000	0	3
200	0	1000	0	4
200	0	1000	0	5
200	0	1000	0	6
200	0	1000	0	7
200	0	1000	0	8
200	0	1000	0	9
200	0	1000	0	10
200	0	1000	0	11
200	0	1000	0	12
200	0	1000	0	13
200	0	1000	0	14
200	0	1000	0	15
200	0	1000	0	16
200	0	1000	0	17
200	0	1000	0	18
200	0	1000	0	19
200	0	1000	0	20
200	0	1000	0	21
200	0	1000	0	22
200	0	1000	0	23
200	0	1000	0	24
200	0	1000	0	25
200	0	1000	0	26
200	0	1000	0	27
200	0	1000	0	28
200	0	1000	0	29
200	0	1000	0	30
200	0	1000	0	31
# Event data block #2
# Threshold	DAC	Events	Triggered	CH#
201	0	1000	0	0
201	0	1000	0	1
201	0	1000	0	2
201	0	1000	0	3
201	0	1000	0	4
201	0	1000	0	5
201	0	1000	0	6
201	0	1000	0	7
201	0	1000	0	8
201	0	1000	0	9
201	0	1000	0	10
201	0	1000	0	11
201	0	1000	0	12
201	0	1000	0	13
201	0	1000	0	14
201	0	1000	0	15
201	0	1000	0	16
201	0	1000	0	17
201	0	1000	0	18
201	0	1000	0	19
201	0	1000	0	20
201	0	1000	0	21
201	0	1000	0	22
201	0	1000	0	23
201	0	1000	0	24
201	0	1000	0	25
201	0	1000	0	26
201	0	1000	0	27
201	0	1000	0	28
201	0	1000	0	29
201	0	1000	0	30
201	0	1000	0	31
# Event data block #3
# Threshold	DAC	Events	Triggered	CH#
202	0	1000	0	0
202	0	1000	0	1
202	0	1000	0	2
202	0	1000	0	3
202	0	1000	0	4
202	0	1000	0	5
202	0	1000	0	6
202	0	1000	0	7
202	0	1000	0	8
202	0	1000	0	9
202	0	1000	0	10
202	0	1000	0	11
202	0	1000	0	12
202	0	1000	0	13
202	0	1000	1	14
202	0	1000	0	15
202	0	1000	0	16
202	0	1000	0	17
202	0	1000	0	18
202	0	1000	1	19
202	0	1000	0	20
202	0	1000	0	21
202	0	1000	1	22
202	0	1000	1	23
202	0	1000	0	24
202	0	1000	0	25
202	0	1000	0	26
202	0	1000	0	27
202	0	1000	1	28
202	0	1000	0	29
202	0	1000	0	30
202	0	1000	0	31
# Event data block #4
# Threshold	DAC	Events	Triggered	CH#
203	0	1000	0	0
203	0	1000	0	1
203	0	1000	0	2
203	0	1000	0	3
203	0	1000	0	4
203	0	1000	0	5
203	0	1000	0	6
203	0	1000	0	7
203	0	1000	0	8
203	0	1000	0	9
203	0	1000	0	10
203	0	1000	0	11
203	0	1000	0	12
203	0	1000	0	13
203	0	1000	0	14
203	0	1000	0	15
203	0	1000	0	16
203	0	1000	0	17
203	0	1000	0	18
203	0	1000	0	19
203	0	1000	0	20
203	0	1000	0	21
203	0	1000	0	22
203	0	1000	0	23
203	0	1000	0	24
203	0	1000	0	25
203	0	1000	0	26
203	0	1000	0	27
203	0	1000	0	28
203	0	1000	0	29
203	0	1000	0	30
203	0	1000	0	31
# Event data block #5
# Threshold	DAC	Events	Triggered	CH#
204	0	1000	0	0
204	0	1000	0	1
204	0	1000	0	2
204	0	1000	0	3
204	0	1000	0	4
204	0	1000	0	5
204	0	1000	0	6
204	0	1000	0	7
204	0	1000	0	8
204	0	1000	0	9
204	0	1000	0	10
204	0	1000	0	11
204	0	1000	0	12
204	0	1000	0	13
204	0	1000	4	14
204	0	1000	0	15
204	0	1000	0	16
204	0	1000	0	17
204	0	1000	0	18
204	0	1000	0	19
204	0	1000	0	20
204	0	1000	0	21
204	0	1000	0	22
204	0	1000	0	23
204	0	1000	0	24
204	0	1000	0	25
204	0	1000	2	26
204	0	1000	0	27
204	0	1000	2	28
204	0	1000	0	29
204	0	1000	0	30
204	0	1000	0	31
# Event data block #6
# Threshold	DAC	Events	Triggered	CH#
205	0	1000	0	0
205	0	1000	0	1
205	0	1000	0	2
205	0	1000	0	3
205	0	1000	2	4
205	0	1000	0	5
205	0	1000	0	6
205	0	1000	0	7
205	0	1000	0	8
205	0	1000	1	9
205	0	1000	0	10
205	0	1000	0	11
205	0	1000	0	12
205	0	1000	0	13
205	0	1000	5	14
205	0	1000	0	15
205	0	1000	0	16
205	0	1000	0	17
205	0	1000	0	18
205	0	1000	1	19
205	0	1000	0	20
205	0	1000	0	21
205	0	1000	3	22
205	0	1000	3	23
205	0	1000	0	24
205	0	1000	0	25
205	0	1000	3	26
205	0	1000	0	27
205	0	1000	10	28
205	0	1000	0	29
205	0	1000	0	30
205	0	1000	0	31
# Event data block #7
# Threshold	DAC	Events	Triggered	CH#
206	0	1000	0	0
206	0	1000	0	1
206	0	1000	0	2
206	0	1000	0	3
206	0	1000	4	4
206	0	1000	0	5
206	0	1000	0	6
206	0	1000	0	7
206	0	1000	0	8
206	0	1000	0	9
206	0	1000	0	10
206	0	1000	0	11
206	0	1000	0	12
206	0	1000	0	13
206	0	1000	7	14
206	0	1000	0	15
206	0	1000	0	16
206	0	1000	0	17
206	0	1000	0	18
206	0	1000	2	19
206	0	1000	0	20
206	0	1000	0	21
206	0	1000	3	22
206	0	1000	1	23
206	0	1000	0	24
206	0	1000	0	25
206	0	1000	6	26
206	0	1000	0	27
206	0	1000	24	28
206	0	1000	0	29
206	0	1000	0	30
206	0	1000	1	31
# Event data block #8
# Threshold	DAC	Events	Triggered	CH#
207	0	1000	0	0
207	0	1000	0	1
207	0	1000	0	2
207	0	1000	0	3
